건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
15001,주유소,6924,2,127.105192,37.682
15001,주유소,11367,2,127.1562849,37.605
15001,주유소,11368,2,127.1561558,37.605
15001,주유소,11101,2,127.1844961,37.621
15001,주유소,11102,2,127.1844156,37.621
15001,주유소,11018,2,127.1894702,37.625
15001,주유소,11019,2,127.1895608,37.625
15001,주유소,10950,2,127.19304,37.629
15001,주유소,10951,2,127.1928296,37.629
15001,주유소,10952,2,127.1927548,37.629
15001,주유소,10948,2,127.1926852,37.629
15001,주유소,10845,2,127.2051419,37.633
15001,주유소,10846,2,127.2050537,37.633
15001,주유소,18886,2,127.217961,37.635
15001,주유소,10803,2,127.219769,37.636
15001,주유소,10734,2,127.2355212,37.648
15001,주유소,10671,2,127.2358188,37.65
15001,주유소,10672,2,127.2359136,37.649
15001,주유소,11465,2,127.2817488,37.655
15001,주유소,11404,2,127.3124891,37.651
15001,주유소,11604,2,127.3261877,37.652
15001,주유소,11602,2,127.3263313,37.652
15001,주유소,11603,2,127.3263591,37.652
15001,주유소,11640,2,127.3318802,37.654
15001,주유소,11639,2,127.3324332,37.654
15001,주유소,11638,2,127.3326116,37.654
15001,주유소,11635,2,127.332534,37.655
15001,주유소,11632,2,127.3321867,37.655
15001,주유소,11631,2,127.3322673,37.655
15001,주유소,11634,2,127.332069,37.655
15001,주유소,11633,2,127.3317691,37.655
15001,주유소,11507,2,127.3642485,37.663
15001,주유소,11500,2,127.3710876,37.667
15001,주유소,11503,2,127.3739563,37.672
15001,주유소,10451,2,127.1518968,37.639
15001,주유소,10446,2,127.1554174,37.643
15001,주유소,10443,2,127.1600289,37.656
15001,주유소,10442,2,127.1599135,37.656
15001,주유소,10444,2,127.1599135,37.656
15001,주유소,10445,2,127.1602469,37.656
15001,주유소,82167,2,127.1596958,37.657
15001,주유소,62567,2,127.1536573,37.663
15001,주유소,62568,2,127.1537197,37.663
15001,주유소,10308,2,127.1576632,37.681
15001,주유소,10274,2,127.1610498,37.686
15001,주유소,10228,2,127.1759105,37.711
15001,주유소,10184,2,127.1948424,37.732
15001,주유소,10422,2,127.2089633,37.749
15001,주유소,10421,2,127.2090861,37.749
15001,주유소,10385,2,127.2137937,37.751
15001,주유소,10368,2,127.2147008,37.751
15001,주유소,64930,2,127.1826055,37.61
15001,주유소,79346,2,127.1824201,37.61
15001,주유소,51870,2,127.1954241,37.597
15001,주유소,51871,2,127.1956925,37.597
15001,주유소,51869,2,127.1953674,37.597
15001,주유소,51879,2,127.1977147,37.595
15001,주유소,51880,2,127.1976311,37.594
15001,주유소,51881,2,127.197623,37.595
15001,주유소,51882,2,127.1975439,37.595
15001,주유소,51849,2,127.1992625,37.592
15001,주유소,51848,2,127.1993322,37.592
15001,주유소,51850,2,127.199387,37.592
15001,주유소,51995,2,127.235802,37.559
15001,주유소,51994,2,127.2357013,37.56
15001,주유소,69947,2,127.2388243,37.553
15001,주유소,69948,2,127.2386493,37.553
15001,주유소,51969,2,127.2382468,37.552
15001,주유소,51970,2,127.2382788,37.552
15001,주유소,17184,2,127.1305566,37.652
15001,주유소,65678,2,127.1294091,37.656
15001,주유소,65677,2,127.1293534,37.656
15001,주유소,17137,2,127.1319717,37.664
15001,주유소,17143,2,127.1350809,37.678
15001,주유소,65135,2,127.1352299,37.683
15001,주유소,65136,2,127.1352066,37.683
15001,주유소,17104,2,127.1307328,37.693
15001,주유소,17083,2,127.1271498,37.697
15001,주유소,17084,2,127.1268852,37.697
15001,주유소,29377,2,127.1727296,37.593
15001,주유소,29376,2,127.1726407,37.593
15001,주유소,29245,2,127.1658031,37.596
15001,주유소,28177,2,127.2033209,37.71
15001,주유소,7927,2,127.209968,37.732
15001,주유소,7928,2,127.2100595,37.732
15001,주유소,61119,2,127.2157437,37.74
15001,주유소,61120,2,127.2158396,37.74
15001,주유소,44191,2,127.2049136,37.746
15001,주유소,35924,2,127.2392508,37.657
