gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관,교통량,경제인구,sum,순위
다사70aa56bb,0,127.1615091,37.61082037,0.0,2.0,0.0,0.0,1.0,0,0,0,100.0,1.0,4.0,1
다사70aa57aa,0,127.1614989,37.6130737,0.02631578947368421,2.0,0.0,0.0,0.75,0,0,0,100.0,0.7675139491630502,3.543829738636734,2
다사74aa71bb,0,127.206297,37.74614078,0.14473684210526316,0.0392156862745098,3.0,0.25,0.0,0,0,0,100.0,0.06509609423434594,3.499048622614119,3
다사69bb57aa,0,127.1586663,37.61306554,0.05263157894736842,1.607843137254902,0.0,0.25,0.75,1,0,0,100.0,0.814631122132672,3.4751058383349425,4
다사68ba61aa,2,127.1443316,37.6490769,0.6184210526315789,0.3137254901960784,0.0,0.5,1.0,0,0,0,100.0,0.694048357098574,3.1261948999262312,5
다사76bb60ba,0,127.2378687,37.64481511,0.039473684210526314,0.9803921568627451,0.0,0.0,1.0,0,0,0,100.0,0.8620582765034097,2.881924117576681,6
다사74ab54aa,0,127.2097583,37.58616181,0.381578947368421,0.1568627450980392,2.0,0.0,0.0,0,0,0,100.0,0.2975821450712957,2.836023837537756,7
다사77bb61bb,0,127.2491661,37.65610644,0.18421052631578946,0.8627450980392157,0.5,0.5,0.25,0,0,0,100.0,0.36825790452572843,2.6652135288807335,8
다사78aa61bb,0,127.2520004,37.65611243,0.0,0.8627450980392157,0.0,0.25,0.75,0,0,0,100.0,0.758834469931804,2.6215795679710197,9
다사69bb56bb,0,127.1586766,37.61081221,0.013157894736842105,1.1764705882352942,0.0,0.0,0.5,0,0,0,100.0,0.9063856168629881,2.5960140998351244,10
다사83ba61ab,0,127.3143654,37.65172035,0.09210526315789473,0.0,2.5,0.0,0.0,0,0,0,100.0,0.0,2.5921052631578947,11
다사74aa54aa,1,127.2069267,37.58615481,0.039473684210526314,1.4509803921568627,0.0,0.0,0.5,0,0,0,100.0,0.5964042157470552,2.586858292114444,12
다사76ba60ab,0,127.2350429,37.64255544,0.039473684210526314,0.7058823529411764,0.0,0.25,0.75,0,0,0,100.0,0.6584004959702418,2.4037565331219444,13
다사75ba53aa,0,127.2239496,37.57718234,0.4473684210526315,0.43137254901960786,0.0,0.0,0.75,0,0,0,100.0,0.7321760694358338,2.360917039508073,14
다사69ba56ba,0,127.1558545,37.60855065,0.2631578947368421,0.0784313725490196,0.0,0.25,1.0,0,0,0,100.0,0.6732796032238065,2.2648688705096682,15
다사75aa54aa,0,127.2182531,37.58618239,0.02631578947368421,0.5490196078431373,0.0,0.5,0.75,0,0,0,100.0,0.39863608183508986,2.2239714791519116,16
다사66aa68aa,0,127.1156667,37.71208036,0.09210526315789473,0.5882352941176471,0.0,0.0,0.75,0,0,0,100.0,0.7610043397396156,2.1913448970151572,17
다사82ba61aa,1,127.303035,37.64944862,0.5789473684210527,0.27450980392156865,0.5,0.0,0.25,0,0,0,100.0,0.5650960942343459,2.168553266576967,18
다사75ab54ab,0,127.2210763,37.58844247,0.02631578947368421,0.7450980392156863,0.0,0.0,0.5,1,0,0,100.0,0.865158090514569,2.1365719192039396,19
다사75aa54ab,0,127.2182446,37.58843575,0.47368421052631576,0.5490196078431373,0.0,0.0,0.5,0,0,0,100.0,0.5905145691258524,2.1132183874953054,20
다사69ba56bb,0,127.1558441,37.61080398,0.17105263157894735,0.6274509803921569,0.0,0.0,0.75,0,0,0,100.0,0.5241785492870428,2.0726821612581467,21
다사66ab67bb,0,127.1185146,37.70983629,0.14473684210526316,0.3529411764705882,0.5,0.0,0.5,0,0,0,100.0,0.5703657780533168,2.0680437966291683,22
다사71aa56bb,0,127.1728392,37.61085232,0.039473684210526314,0.0,1.5,0.5,0.0,0,0,0,100.0,0.0,2.0394736842105265,23
다사71aa57aa,0,127.1728293,37.61310566,0.013157894736842105,0.0,2.0,0.0,0.0,0,0,0,100.0,0.005889646621202727,2.0190475413580447,24
다사75ab53aa,0,127.2211183,37.57717568,0.05263157894736842,0.5098039215686274,0.0,0.0,0.75,0,0,0,100.0,0.7030378177309361,2.015473318246932,25
다사77aa60bb,0,127.2406947,37.64707471,0.02631578947368421,1.0196078431372548,0.0,0.0,0.25,0,0,0,100.0,0.7024178549287042,1.9983414875396432,26
다사71ba61bb,0,127.17831,37.65593449,0.8552631578947368,0.0392156862745098,0.0,1.0,0.0,0,0,0,100.0,0.09330440173589584,1.9877832459051425,27
다사71bb62aa,0,127.1811346,37.65819551,0.13157894736842105,0.5098039215686274,0.0,0.0,0.5,0,0,0,100.0,0.8450092994420334,1.9863921683790817,28
다사74ba64ab,0,127.2122339,37.67855558,0.14473684210526316,0.43137254901960786,0.0,0.0,0.75,0,0,0,100.0,0.6565406075635462,1.9826499986884172,29
다사70ab56ba,0,127.1643518,37.60857512,0.13157894736842105,0.5490196078431373,0.0,0.25,0.5,0,0,0,100.0,0.5433973961562306,1.973995951367789,30
다사74ba53ba,0,127.2126072,37.58166203,0.013157894736842105,0.39215686274509803,0.0,0.0,0.75,0,0,0,100.0,0.8130812151270923,1.9683959726090325,31
다사71ba62ab,0,127.1782906,37.66044113,0.14473684210526316,0.19607843137254902,0.5,0.0,0.5,0,0,0,100.0,0.6162430254184749,1.957058298896287,32
다사77ba62bb,0,127.2463012,37.66511371,0.11842105263157894,0.6274509803921569,0.0,0.0,0.5,0,0,0,100.0,0.7067575945443273,1.9526296275680632,33
다사77aa61aa,0,127.2406869,37.64932805,0.07894736842105263,1.1372549019607843,0.0,0.0,0.25,0,0,0,100.0,0.48078115313081216,1.946983423512649,34
다사74ba54aa,2,127.2125899,37.58616874,0.9605263157894737,0.1568627450980392,0.0,0.0,0.5,0,0,0,100.0,0.28952262864228145,1.9069116895297944,35
다사65bb67bb,0,127.112842,37.7098178,0.21052631578947367,0.3529411764705882,0.5,0.0,0.25,0,0,0,100.0,0.5883446993180409,1.9018121915781028,36
다사74bb54aa,0,127.2154215,37.5861756,0.5789473684210527,0.43137254901960786,0.0,0.25,0.0,0,0,0,100.0,0.6277123372597644,1.888032254700425,37
다사71bb68ba,0,127.1808837,37.71678157,0.4473684210526315,0.1568627450980392,0.5,0.0,0.25,0,0,0,100.0,0.5223186608803472,1.876549827031018,38
다사69ba56ab,0,127.1558649,37.60629731,0.14473684210526316,0.39215686274509803,0.0,0.25,0.5,0,0,0,100.0,0.5700557966522009,1.856949501502562,39
다사68bb61aa,0,127.1471655,37.64908541,0.5789473684210527,0.1568627450980392,0.0,0.25,0.5,0,0,0,100.0,0.3484190948543087,1.8342292083734006,40
다사77aa60ba,0,127.2407025,37.64482137,0.02631578947368421,0.5098039215686274,0.0,0.25,0.5,0,0,0,100.0,0.5328580285182889,1.8189777395606006,41
다사68aa61aa,0,127.1386636,37.64905967,0.09210526315789473,0.6274509803921569,0.0,0.0,0.5,0,0,0,100.0,0.5824550526968382,1.8020112962468897,42
다사66ba67ba,0,127.1213623,37.70759214,0.02631578947368421,0.39215686274509803,0.0,0.0,0.75,0,0,0,100.0,0.6280223186608803,1.7964949708796625,43
다사67ab63aa,0,127.1300723,37.6670598,0.013157894736842105,0.27450980392156865,0.0,0.25,0.75,0,0,0,100.0,0.47272163670179784,1.7603893353602087,44
다사76ba60ba,0,127.2350349,37.64480878,0.05263157894736842,0.5490196078431373,0.0,0.0,0.5,0,0,0,100.0,0.657160570365778,1.7588117571562836,45
다사74ab54ab,0,127.2097496,37.58841516,0.13157894736842105,0.3137254901960784,0.0,0.5,0.25,0,0,0,100.0,0.550836949783013,1.7461413873475125,46
다사76bb60bb,1,127.2378608,37.64706845,0.09210526315789473,0.9411764705882353,0.0,0.25,0.0,0,0,0,100.0,0.4590824550526968,1.7423641887988268,47
다사69ab56ba,0,127.1530221,37.60854235,0.3026315789473684,0.39215686274509803,0.0,0.25,0.25,0,0,0,100.0,0.5316181029138252,1.7264065446062915,48
다사72aa68bb,1,127.1837107,37.71904251,1.0,0.0784313725490196,0.0,0.5,0.0,0,0,0,100.0,0.12926224426534408,1.7076936168143637,49
다사71bb68bb,0,127.180874,37.71903486,0.23684210526315788,0.1568627450980392,0.5,0.25,0.25,0,0,0,100.0,0.30998140111593303,1.70368625147713,50
다사66aa67bb,2,127.1156783,37.70982708,0.25,0.3529411764705882,0.0,0.25,0.25,0,0,0,100.0,0.5902045877247365,1.6931457641953247,51
다사74ba54ab,0,127.2125813,37.58842209,0.3684210526315789,0.3529411764705882,0.0,0.25,0.25,0,0,0,100.0,0.4618722876627402,1.6832345167649072,52
다사82aa62aa,0,127.2973425,37.65845239,0.039473684210526314,0.39215686274509803,0.0,0.0,0.75,0,0,0,100.0,0.5006199628022319,1.6822505097578562,53
다사68ba60bb,0,127.1443423,37.64682358,0.09210526315789473,0.3137254901960784,0.0,0.5,0.25,0,0,0,100.0,0.5220086794792312,1.6778394328332045,54
