fid,ID,spot_nm,sido,sigungu,sub1_nm,sub1_code,sub2_nm,sub2_code,sub3_nm,sub3_code,POP_count,POP_sum
1,1,가야 컨트리클럽,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,골프장,C0406,,
2,2,국립 김해 박물관,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,박물관(국립ㆍ사립),C0302,"156",14.637270
3,3,김해가야테마파크,경상남도,김해시,관광장소 및 시설,C,유원ㆍ휴양ㆍ수련시설,C08,유원지,C0803,"4",0.528431
4,4,김해천문대,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,기타,C0301,"10",0.618674
5,5,노무현대통령생가,경상남도,김해시,문화,A,인물,A01,"출생지, 생가(터)",A0103,,
6,6,대동승마랜드,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,관광승마장,C0423,,
7,7,롯데워터파크,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,수영장,C0404,"157",9.513894
8,8,부경동물원,경상남도,김해시,관광장소 및 시설,C,유원ㆍ휴양ㆍ수련시설,C08,테마공원(Theme Park),C0802,"180",4.883256
9,9,수로왕릉,경상남도,김해시,문화,A,유적지ㆍ사적지,A05,능,A0504,"105",9.939604
10,10,장유온천,경상남도,김해시,관광장소 및 시설,C,유원ㆍ휴양ㆍ수련시설,C08,온천지구,C0805,"299",69.839413
11,11,정산컨트리클럽,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,골프장,C0406,,
12,12,클레이아크,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,공연장ㆍ소극장,C0310,"303",33.994491
13,13,한옥체험관,경상남도,김해시,관광장소 및 시설,C,숙박ㆍ식음시설,C05,기타,C0501,"124",12.712452
