행정동,1인가구수
가락1동,1365
가락2동,1145
가락본동,1636
가리봉동,2402
가산동,4317
가양1동,855
가양2동,2547
가양3동,1858
가회동,507
갈현1동,1548
갈현2동,1305
강일동,575
개봉1동,2243
개봉2동,1208
개봉3동,1071
개포1동,1566
개포2동,2354
개포4동,2164
거여1동,813
거여2동,1982
고덕1동,1154
고덕2동,1353
고척1동,1301
고척2동,1787
공덕동,3465
공릉1·3동,0
공릉2동,2171
공항동,2537
광장동,908
광희동,730
교남동,1032
구로1동,1001
구로2동,3474
구로3동,5747
구로4동,1908
구로5동,2392
구산동,1333
구의1동,3200
구의2동,1796
구의3동,1778
군자동,3350
금호1가동,1031
금호2·3가동,1643
금호4가동,1033
길동,3146
길음1동,1173
길음2동,1506
낙성대동,4383
난곡동,2516
난향동,988
남가좌1동,265
남가좌2동,2590
남영동,2287
남현동,1975
내곡동,318
노량진1동,4894
노량진2동,3179
녹번동,3197
논현1동,7271
논현2동,4526
능동,1848
답십리1동,1849
답십리2동,1692
당산1동,1985
당산2동,2841
대림1동,1452
대림2동,1494
대림3동,1894
대방동,2996
대조동,2583
대치1동,194
대치2동,1407
대치4동,4433
대학동,11417
대흥동,4295
도곡1동,1467
도곡2동,1175
도림동,2177
도봉1동,1777
도봉2동,1614
도화동,1720
독산1동,4099
독산2동,2100
독산3동,2809
독산4동,1763
돈암1동,911
돈암2동,812
동선동,2890
둔촌1동,455
둔촌2동,1316
등촌1동,2289
등촌2동,985
등촌3동,2961
마장동,1779
마천1동,1554
마천2동,1589
망우3동,1664
망우본동,2627
망원1동,2164
망원2동,1267
면목2동,2569
면목3·8동,2724
면목4동,1977
면목5동,1267
면목7동,2077
면목본동,3625
명동,505
명륜3가동,0
명일1동,1029
명일2동,371
목1동,798
목2동,1742
목3동,1468
목4동,1233
목5동,1060
무악동,482
묵1동,1700
묵2동,1753
문래동,1647
문정1동,1026
문정2동,337
미성동,2534
미아동,2026
반포1동,3962
반포2동,468
반포3동,895
반포4동,859
반포본동,308
발산1동,1134
방배1동,1059
방배2동,1621
방배3동,1174
방배4동,1683
방배본동,966
방이1동,642
방이2동,2952
방학1동,2021
방학2동,1529
방학3동,920
방화1동,1858
방화2동,2497
방화3동,3159
번1동,2890
번2동,1318
번3동,1210
보광동,2327
보라매동,2657
보문동,1820
부암동,693
북가좌1동,431
북가좌2동,1958
북아현동,1545
불광1동,2411
불광2동,2420
사근동,3094
사당1동,3108
사당2동,2191
사당3동,1681
사당4동,1128
사당5동,1190
사직동,973
삼각산동,1159
삼선동,2894
삼성1동,1223
삼성2동,3797
삼성동,2178
삼양동,2239
삼전동,4414
삼청동,271
상계10동,1328
상계1동,2242
상계2동,1098
상계3·4동,2850
상계5동,1570
상계6·7동,2693
상계8동,1178
상계9동,1155
상도1동,5589
상도2동,2428
상도3동,1920
상도4동,2023
상봉1동,1138
상봉2동,2375
상암동,1006
상일동,1036
서강동,3539
서교동,7485
서림동,7625
서빙고동,788
서원동,4930
서초1동,2374
서초2동,2039
서초3동,2349
서초4동,1127
석관동,3034
석촌동,4027
성내1동,959
성내2동,3238
성내3동,1708
성북동,1803
성산1동,1753
성산2동,2189
성수1가1동,1605
성수1가2동,1914
성수2가1동,2030
성수2가3동,1068
성현동,1731
세곡동,259
소공동,99
송정동,1699
송중동,2686
송천동,2986
송파1동,2443
송파2동,549
수궁동,1072
수색동,1373
수서동,1996
수유1동,1760
수유2동,1470
수유3동,2793
숭인1동,770
숭인2동,1432
시흥1동,2802
시흥2동,926
시흥3동,735
시흥4동,1678
시흥5동,1972
