동별,총 가구
가락1동,5576
가락2동,10571
가락본동,9157
가리봉동,8503
가산동,10733
가양1동,6391
가양2동,7745
가양3동,7357
가회동,1889
갈현1동,8408
갈현2동,8647
강일동,6395
개봉1동,12239
개봉2동,10891
개봉3동,7181
개포1동,7698
개포2동,12034
개포4동,8221
거여1동,4936
거여2동,9722
고덕1동,7360
고덕2동,6292
고척1동,8297
고척2동,10084
공덕동,12787
공릉1·3동,13989
공릉2동,14351
공항동,8130
광장동,10074
광희동,2176
교남동,3203
구로1동,7475
구로2동,14726
구로3동,12980
구로4동,10338
구로5동,12147
구산동,9668
구의1동,9482
구의2동,8770
구의3동,10047
군자동,9321
금호1가동,5348
금호2·3가동,7520
금호4가동,5223
길동,16970
길음1동,10685
길음2동,6740
낙성대동,8648
난곡동,10996
난향동,5920
남가좌1동,1141
남가좌2동,10921
남영동,3897
남현동,6846
내곡동,1593
노량진1동,14047
노량진2동,7947
녹번동,12712
논현1동,13387
논현2동,10311
능동,4755
답십리1동,7147
답십리2동,10365
당산1동,7586
당산2동,11791
대림1동,6586
대림2동,9346
대림3동,10797
대방동,13519
대조동,10781
대치1동,6789
대치2동,12629
대치4동,9869
대학동,15965
대흥동,8268
도곡1동,7032
도곡2동,10046
도림동,7890
도봉1동,8340
도봉2동,10207
도화동,8062
독산1동,13529
독산2동,8883
독산3동,12299
독산4동,7355
돈암1동,5415
돈암2동,7302
동선동,6681
둔촌1동,5871
둔촌2동,9140
등촌1동,7933
등촌2동,7021
등촌3동,13737
마장동,8589
마천1동,6536
마천2동,7732
망우3동,6838
망우본동,11494
망원1동,8667
망원2동,7077
면목2동,10206
면목3·8동,10820
면목4동,8267
면목5동,5110
면목7동,9007
면목본동,13562
명동,1068
명륜3가동,3363
명일1동,8584
명일2동,5263
목1동,9490
목2동,9989
목3동,7514
목4동,8468
목5동,13030
무악동,2730
묵1동,10907
묵2동,7141
문래동,10620
문정1동,6973
문정2동,4646
미성동,11889
미아동,8464
반포1동,11536
반포2동,6084
반포3동,7316
반포4동,6432
반포본동,3625
발산1동,9905
방배1동,5458
방배2동,8539
방배3동,7865
방배4동,8143
방배본동,6405
방이1동,5022
방이2동,9646
방학1동,10693
방학2동,7940
방학3동,9621
방화1동,10127
방화2동,9374
방화3동,10707
번1동,8408
번2동,7039
번3동,7297
보광동,7246
보라매동,9800
보문동,5844
부암동,3477
북가좌1동,3236
북가좌2동,11398
북아현동,5678
불광1동,12474
불광2동,10502
사근동,5765
사당1동,9675
사당2동,10702
사당3동,8565
사당4동,5397
사당5동,5478
사직동,3536
삼각산동,9415
삼선동,9676
삼성1동,5321
삼성2동,12017
삼성동,10170
삼양동,10741
삼전동,13863
삼청동,1070
상계10동,7203
상계1동,14084
상계2동,7078
상계3·4동,13539
상계5동,8277
상계6·7동,12937
상계8동,8963
상계9동,8222
상도1동,16142
상도2동,9381
상도3동,8475
상도4동,10010
상봉1동,8077
상봉2동,7255
상암동,8527
상일동,8623
서강동,10571
서교동,14731
서림동,13057
서빙고동,3876
서원동,11397
서초1동,7553
서초2동,8244
서초3동,9874
서초4동,9469
석관동,13202
석촌동,13645
성내1동,6576
성내2동,10690
성내3동,8551
성북동,6416
성산1동,7254
성산2동,13556
성수1가1동,6465
성수1가2동,7095
성수2가1동,7581
성수2가3동,4228
성현동,11497
세곡동,1406
소공동,327
송정동,5248
송중동,12044
송천동,11449
송파1동,9651
송파2동,5918
수궁동,7843
수색동,6921
수서동,7041
수유1동,7896
수유2동,7851
수유3동,9178
숭인1동,2804
숭인2동,3706
시흥1동,11599
시흥2동,7964
시흥3동,4218
시흥4동,8391
시흥5동,8552
신길1동,9573
신길3동,7308
신길4동,5018
신길5동,6798
신길6동,9198
신길7동,6313
신내1동,9446
신내2동,8656
신당1동,3128
신당2동,5823
신당3동,7112
신당4동,5597
신당5동,2843
신당6동,2925
신대방1동,9991
신대방2동,7171
신도림동,11529
신림동,10596
신사1동,8710
신사2동,7399
신사동,11574
신사동,7564
신수동,8075
신원동,8542
신월1동,8646
신월2동,6434
신월3동,6740
신월4동,5650
신월5동,5082
신월6동,4394
신월7동,8398
신정1동,7436
신정2동,6588
신정3동,16123
신정4동,12913
신정6동,7726
신정7동,10734
신촌동,9487
쌍문1동,7306
쌍문2동,7133
쌍문3동,6498
쌍문4동,6729
아현동,6362
안암동,8700
암사1동,13809
암사2동,5246
암사3동,5551
압구정동,9187
양재1동,9151
양재2동,8293
양평1동,6205
양평2동,6949
여의동,10918
역삼1동,19257
역삼2동,12902
역촌동,14723
연남동,7552
연희동,16638
염리동,7164
염창동,12332
영등포동,6741
영등포본동,9929
오금동,11683
오류1동,7459
오류2동,9476
오륜동,5485
옥수동,8442
왕십리2동,6463
왕십리도선동,4676
용강동,7882
용답동,6646
용문동,4422
용산2가동,5231
용신동,11802
우이동,6890
우장산동,12287
원효로1동,4123
원효로2동,5342
월계1동,8307
월계2동,11232
월계3동,12515
월곡1동,9325
월곡2동,7759
은천동,13011
을지로동,798
응봉동,5565
응암1동,10832
응암2동,6791
응암3동,9333
이문1동,14795
이문2동,7914
이촌1동,9073
이촌2동,3382
이태원1동,3578
이태원2동,4404
이화동,3703
인수동,11077
인헌동,11997
일원1동,6650
일원2동,6619
일원본동,6723
자양1동,9526
자양2동,9641
자양3동,10019
자양4동,11949
잠실2동,11148
잠실3동,11313
잠실4동,9623
잠실6동,5059
잠실7동,3144
잠실본동,12355
잠원동,12685
장안1동,12112
장안2동,10231
장위1동,8502
장위2동,7646
장위3동,6488
장지동,11726
장충동,2543
전농1동,9494
전농2동,5948
정릉1동,6594
정릉2동,7763
정릉3동,6660
정릉4동,8931
제기동,10971
조원동,7788
종로1·2·3·4가동,3467
종로5·6가동,2039
종암동,14520
중계1동,8685
중계2·3동,14629
중계4동,7421
중계본동,8282
중곡1동,6336
중곡2동,7829
중곡3동,6942
중곡4동,10392
중림동,4520
중앙동,6323
중화1동,7144
중화2동,12335
증산동,6918
진관동,10828
창1동,9842
창2동,10439
창3동,5655
창4동,10024
창5동,9004
