gid,lon,lat
다사73bb67ba,127.2036120000,37.7078275800
다사85ab65ba,127.3341189000,37.6900567100
다사82ab57ba,127.3002854000,37.6178969300
다사70ab68aa,127.1638848000,37.7122276800
다사86aa66aa,127.3426161000,37.6945750400
다사72aa57bb,127.1841312000,37.6198965400
다사74ab71ba,127.2091435000,37.7438945200
다사82bb58ab,127.3059335000,37.6246664500
다사63ba66bb,127.0873657000,37.7007181000
다사76ab72ab,127.2318198000,37.7507082400
다사77ba60ab,127.2463778000,37.6425803500
다사83ba69ab,127.3141856000,37.7238270000
다사83ba51ba,127.3145837000,37.5638391700
다사81ab71ba,127.2885964000,37.7440638000
다사69aa62ba,127.1499360000,37.6626137400
다사85aa65ab,127.3312884000,37.6877993500
다사83ab69ba,127.3113431000,37.7260758100
다사71ba66aa,127.1781446000,37.6942408300
다사76ba57bb,127.2351229000,37.6200220200
다사75ab57ba,127.2209669000,37.6177360300
다사69ba61bb,127.1556362000,37.6558704800
다사72bb55aa,127.1927317000,37.5951322100
다사82ba64bb,127.3029456000,37.6832487100
다사73ba69ab,127.2007124000,37.7235935400
다사65bb64aa,127.1130177000,37.6760184300
다사71ab62aa,127.1754660000,37.6581800500
다사72ba72bb,127.1892333000,37.7551102700
다사82aa70aa,127.2971461000,37.7305588900
다사82bb50ab,127.3061206000,37.5525586200
다사85ba62aa,127.3370235000,37.6585138900
다사85bb63ab,127.3398336000,37.6697845000
다사82ab61aa,127.3002010000,37.6494438500
다사70ba64ab,127.1668724000,37.6784361800
다사72ba61ab,127.1896657000,37.6514582100
다사66bb68aa,127.1241757000,37.7121077900
다사73bb61aa,127.2038450000,37.6492413100
다사72aa57ba,127.1841407000,37.6176432000
다사73ba61aa,127.2010110000,37.6492341600
다사65bb63bb,127.1130294000,37.6737651300
다사73aa73ba,127.1948815000,37.7618849600
다사84ab62ba,127.3228410000,37.6630001500
다사81ab69bb,127.2886412000,37.7282906300
다사73ba63bb,127.2009116000,37.6740207300
다사77bb64bb,127.2490751000,37.6831464000
다사86bb64aa,127.3511593000,37.6765593800
다사73aa73aa,127.1949000000,37.7573783900
다사73bb68ab,127.2035851000,37.7145875000
다사77bb62bb,127.2491358000,37.6651197700
다사77ba61bb,127.2463319000,37.6561003800
다사80ba73ab,127.2800368000,37.7598213500
다사70ba67ba,127.1667413000,37.7077291300
다사65bb62aa,127.1131113000,37.6579920200
다사68bb62aa,127.1471229000,37.6580986700
다사82bb69bb,127.3056633000,37.7283199100
다사84bb62ab,127.3285152000,37.6607551800
다사73aa61aa,127.1953430000,37.6492196600
다사80ab56ba,127.2776498000,37.6088429700
다사84ba61ab,127.3257018000,37.6517376400
다사86ab62aa,127.3455266000,37.6585253300
다사77aa72ab,127.2403334000,37.7507273100
다사73aa57ab,127.1954810000,37.6154196500
다사72bb66ba,127.1923044000,37.6987852900
다사74ba59ab,127.2124078000,37.6334890100
다사85ab66aa,127.3341089000,37.6945633800
다사77aa62aa,127.2406555000,37.6583413800
다사87aa61ba,127.3540385000,37.6540294600
다사75bb52bb,127.2267891000,37.5749355600
