gid,건물1,건물2,건물3,관공서,전기차,주차장,충전소,변압기,전기안전관,lon,lat,교통량,경제인구
다사73bb67ba,3,4,0,0,0,0,0,0,0,127.203612,37.70782758,100,202
다사85ab65ba,3,0,0,0,0,0,0,0,0,127.3341189,37.69005671,,0
다사82ab57ba,13,0,0,0,0,0,0,0,0,127.3002854,37.61789693,100,0
다사70ab68aa,1,0,0,0,0,0,0,0,0,127.1638848,37.71222768,,0
다사86aa66aa,4,0,0,0,0,0,0,0,0,127.3426161,37.69457504,100,0
다사72aa57bb,26,2,0,0,0,0,0,0,0,127.1841312,37.61989654,100,26
다사74ab71ba,8,0,0,0,0,1,0,0,0,127.2091435,37.74389452,100,13
다사82bb58ab,0,1,0,0,0,0,0,0,0,127.3059335,37.62466645,,7
다사63ba66bb,0,0,0,0,0,0,0,0,0,127.0873657,37.7007181,,0
다사76ab72ab,17,0,0,0,0,0,0,0,0,127.2318198,37.75070824,100,0
다사77ba60ab,0,0,0,0,0,0,0,0,0,127.2463778,37.64258035,,11
다사83ba69ab,15,0,0,0,0,0,0,0,0,127.3141856,37.723827,100,0
다사83ba51ba,2,0,0,0,0,0,0,0,0,127.3145837,37.56383917,100,6
다사81ab71ba,0,0,0,0,0,0,0,0,0,127.2885964,37.7440638,,6
다사69aa62ba,3,0,0,0,0,0,0,0,0,127.149936,37.66261374,100,9
다사85aa65ab,1,0,0,0,0,0,0,0,0,127.3312884,37.68779935,100,56
다사83ab69ba,3,0,0,0,0,0,0,0,0,127.3113431,37.72607581,100,41
다사71ba66aa,16,0,0,0,0,0,0,0,0,127.1781446,37.69424083,100,29
다사76ba57bb,2,0,0,0,0,0,0,0,0,127.2351229,37.62002202,,0
다사75ab57ba,13,0,0,0,0,0,0,0,0,127.2209669,37.61773603,100,27
다사69ba61bb,26,0,0,0,0,0,0,0,0,127.1556362,37.65587048,100,12
다사72bb55aa,30,0,0,0,0,0,0,0,0,127.1927317,37.59513221,100,18
다사82ba64bb,16,0,0,0,0,0,0,0,0,127.3029456,37.68324871,100,395
다사73ba69ab,4,0,0,0,0,0,0,0,0,127.2007124,37.72359354,,22
다사65bb64aa,0,0,0,0,0,0,0,0,0,127.1130177,37.67601843,100,0
다사71ab62aa,30,3,0,0,0,1,0,0,0,127.175466,37.65818005,100,987
다사72ba72bb,0,0,0,0,0,0,0,0,0,127.1892333,37.75511027,,0
다사82aa70aa,4,0,0,0,0,0,0,0,0,127.2971461,37.73055889,100,0
다사82bb50ab,3,0,0,0,0,0,0,0,0,127.3061206,37.55255862,100,21
다사85ba62aa,16,0,0,0,0,0,0,0,0,127.3370235,37.65851389,100,40
다사85bb63ab,2,0,0,0,0,0,0,0,0,127.3398336,37.6697845,100,0
다사82ab61aa,0,3,0,0,0,0,0,0,0,127.300201,37.64944385,100,138
다사70ba64ab,2,0,0,0,0,0,0,0,0,127.1668724,37.67843618,,0
다사72ba61ab,8,0,0,0,0,0,0,0,0,127.1896657,37.65145821,100,104
다사66bb68aa,11,0,0,0,0,0,0,0,0,127.1241757,37.71210779,100,0
다사73bb61aa,1,0,0,0,0,0,0,0,0,127.203845,37.64924131,100,15
다사72aa57ba,4,0,0,0,0,0,0,0,0,127.1841407,37.6176432,100,7
다사73ba61aa,11,0,0,0,0,0,0,0,0,127.201011,37.64923416,100,28
다사65bb63bb,2,0,0,0,0,0,0,0,0,127.1130294,37.67376513,100,0
다사73aa73ba,12,0,0,0,0,0,0,0,0,127.1948815,37.76188496,,0
다사84ab62ba,3,1,0,0,0,0,0,0,0,127.322841,37.66300015,100,0
다사81ab69bb,5,0,0,0,0,0,0,0,0,127.2886412,37.72829063,100,14
다사73ba63bb,22,0,0,0,0,0,0,0,0,127.2009116,37.67402073,100,53
다사77bb64bb,1,0,0,0,0,0,0,0,0,127.2490751,37.6831464,,0
다사86bb64aa,2,0,0,0,0,0,0,0,0,127.3511593,37.67655938,,6
다사73aa73aa,8,0,0,0,0,0,0,0,0,127.1949,37.75737839,,0
다사73bb68ab,12,0,0,0,0,0,0,0,0,127.2035851,37.7145875,100,0
다사77bb62bb,29,4,0,0,0,0,0,0,0,127.2491358,37.66511977,100,283
다사77ba61bb,40,1,0,1,0,0,0,0,0,127.2463319,37.65610038,100,822
다사80ba73ab,2,0,0,0,0,0,0,1,0,127.2800368,37.75982135,100,10
다사70ba67ba,15,9,0,0,0,0,0,0,0,127.1667413,37.70772913,100,1568
다사65bb62aa,3,0,0,0,0,0,0,0,0,127.1131113,37.65799202,100,33
다사68bb62aa,5,8,0,0,1,0,0,0,0,127.1471229,37.65809867,100,984
다사82bb69bb,0,0,0,0,0,0,0,0,0,127.3056633,37.72831991,,0
다사84bb62ab,0,0,0,0,0,0,0,0,0,127.3285152,37.66075518,,0
다사73aa61aa,2,0,0,0,0,0,0,0,0,127.195343,37.64921966,100,0
다사80ab56ba,1,0,0,0,0,0,0,0,0,127.2776498,37.60884297,,6
다사84ba61ab,16,3,0,0,0,0,0,0,0,127.3257018,37.65173764,100,12
다사86ab62aa,13,0,0,0,0,0,0,0,0,127.3455266,37.65852533,100,20
다사77aa72ab,0,0,0,0,0,0,0,0,0,127.2403334,37.75072731,,0
다사73aa57ab,0,16,0,0,0,0,0,0,0,127.195481,37.61541965,100,206
다사72bb66ba,22,0,0,1,0,0,0,0,0,127.1923044,37.69878529,100,14
다사74ba59ab,11,0,0,1,0,1,0,0,1,127.2124078,37.63348901,100,552
다사85ab66aa,6,0,0,1,0,0,0,0,0,127.3341089,37.69456338,100,13
다사77aa62aa,2,8,0,0,1,0,0,0,0,127.2406555,37.65834138,100,1431
다사87aa61ba,0,0,0,0,0,0,0,0,0,127.3540385,37.65402946,,0
다사75bb52bb,7,1,0,0,0,0,0,0,0,127.2267891,37.57493556,,0
다사88ba65bb,6,0,0,0,0,0,0,0,0,127.3709774,37.69235614,100,27
다사73aa64aa,32,0,0,0,0,0,0,0,0,127.1952325,37.67625953,100,15
다사74bb68aa,16,0,0,0,0,0,0,0,0,127.2149396,37.71236217,100,0
다사66ab62bb,1,3,0,0,0,0,0,0,0,127.1187453,37.66477039,100,906
다사69aa63ba,4,0,0,0,0,0,0,0,0,127.1498937,37.67162698,100,19
다사67bb70ab,5,0,0,0,0,0,0,0,0,127.1354218,37.73242298,100,9
다사78ab61ba,0,0,0,0,0,0,0,0,0,127.254842,37.65386502,100,6
다사71bb58ab,16,0,0,0,0,0,0,0,0,127.1812791,37.62439559,100,26
다사75ab71aa,30,0,0,0,0,0,0,0,0,127.2205108,37.73941539,100,0
다사87bb65bb,5,0,0,0,0,0,0,0,0,127.3624704,37.69234652,,12
다사83aa69bb,7,0,0,0,0,0,0,0,0,127.3085003,37.72832456,100,9
다사76aa55aa,11,0,0,0,0,0,0,0,0,127.2295469,37.59522231,100,14
다사73aa72bb,27,0,0,0,0,0,0,0,0,127.1949093,37.7551251,100,22
다사87ab60ba,0,0,0,0,0,0,0,0,0,127.35689,37.64501953,100,0
다사71ba62bb,5,0,0,0,0,0,0,0,0,127.1782711,37.66494777,100,6
다사71bb57bb,3,0,0,0,0,0,0,0,0,127.1812983,37.61988892,100,124
다사80ba61aa,12,0,0,0,0,0,0,0,0,127.2803629,37.64940859,,8
다사75ba57aa,0,0,0,0,0,0,0,0,0,127.2238164,37.613236,,12
다사75bb72aa,10,0,0,0,0,0,0,0,0,127.2261524,37.7484419,100,12
다사75ab59ba,0,1,0,0,0,0,0,0,0,127.2208995,37.63576276,,9
다사71ba57aa,14,0,0,0,0,0,0,0,0,127.1784945,37.61312123,100,16
다사72ab68ba,0,1,0,0,0,0,0,0,0,127.1865568,37.71679678,100,286
다사77ab61ba,7,0,0,0,0,1,1,0,0,127.2435054,37.65384091,100,145
다사73ba64aa,1,0,0,0,0,0,0,0,0,127.2009025,37.67627405,100,0
다사85ba55aa,7,2,1,0,0,0,0,0,0,127.3371612,37.59541984,100,72
다사75bb72ab,32,0,0,0,0,0,0,0,0,127.2261441,37.75069519,100,7
다사85aa54aa,2,0,0,0,0,0,0,0,0,127.3315176,37.5863984,100,24
다사76ba55ab,30,0,0,0,0,0,0,0,0,127.2352028,37.59748851,,0
다사74aa55aa,0,0,0,0,0,0,0,0,0,127.2068914,37.59516822,100,22
다사70ab66ba,2,0,0,0,0,0,0,0,0,127.1639458,37.69870788,,0
다사81bb60aa,4,3,0,0,0,0,0,0,0,127.2945578,37.64042073,100,357
다사86ab65ab,6,0,0,0,0,0,0,0,0,127.3454658,37.68781878,100,14
다사69ba62ab,5,0,0,0,0,0,0,0,0,127.1556154,37.66037711,100,29
다사74aa62aa,3,0,0,0,0,0,0,0,0,127.2066435,37.6582617,,13
다사68ba60bb,7,8,0,2,1,0,0,0,0,127.1443423,37.64682358,100,1684
다사85ab56ab,0,0,0,0,0,0,0,0,0,127.3343042,37.60668274,,0
다사88bb62ab,10,0,0,0,0,0,0,0,0,127.3738664,37.66081239,100,8
다사73ab64ba,6,0,0,0,0,0,0,0,0,127.1980493,37.68077346,100,38
다사70bb67ba,4,0,0,0,0,0,0,0,0,127.1695775,37.70773712,100,94
다사86aa61ba,3,4,0,0,1,0,0,0,0,127.3427017,37.65401489,100,418
다사72ab59bb,20,0,0,0,0,0,0,0,0,127.1868884,37.63793076,100,0
다사84aa61ab,2,4,0,0,0,0,0,0,0,127.3200336,37.65172913,100,851
다사72ba73ba,6,0,0,0,0,0,0,0,0,127.189205,37.76187013,,0
다사72ba68ab,2,10,0,0,0,0,0,0,0,127.1894027,37.71455099,100,1764
다사73aa67ba,11,0,0,0,0,0,0,0,0,127.1951034,37.70780589,100,18
다사73ba66aa,1,4,0,0,2,0,0,0,0,127.2008301,37.69430057,100,387
다사68ab62ba,0,0,0,0,0,0,0,0,0,127.1414326,37.66258819,,0
다사70aa60ab,30,0,0,0,0,0,0,0,0,127.161366,37.64236697,100,45
다사82ab59ab,9,0,0,0,0,0,0,0,0,127.3002432,37.63367041,100,7
다사80ba69bb,0,0,0,0,0,0,0,0,0,127.2801302,37.72827506,100,10
다사75aa54ba,16,7,0,0,1,0,0,0,0,127.2182361,37.5906891,100,1392
다사67aa67bb,7,0,0,0,0,0,0,0,0,127.1270234,37.70986351,100,14
다사81aa67ba,0,0,0,0,0,0,0,0,0,127.2858626,37.70800565,,0
다사83ab71aa,6,0,0,0,0,0,0,0,0,127.3113087,37.73959571,100,0
다사82aa46ba,6,0,0,0,0,0,0,0,0,127.2977209,37.51874354,,10
다사83aa71aa,2,0,0,0,0,0,0,4,0,127.3084713,37.73959113,100,26
다사82aa46ab,7,0,0,0,0,0,0,0,0,127.297727,37.51649014,100,16
다사72bb56ab,13,0,0,0,0,1,0,0,0,127.1926854,37.60639894,100,21
다사65bb62ba,3,0,0,0,0,0,0,0,0,127.1130879,37.66249863,100,0
다사76ba51ba,13,0,0,0,0,0,0,0,0,127.2353225,37.56368808,100,43
다사71ab62ba,5,0,0,0,0,0,0,0,0,127.1754464,37.66268669,100,12
다사75aa57bb,0,0,0,0,0,0,0,0,0,127.2181256,37.61998264,,0
다사80ba59bb,34,0,0,0,0,0,0,0,0,127.2803961,37.63814186,100,11
다사76ba65ab,6,0,0,0,0,0,0,0,0,127.2348826,37.68762203,100,25
다사84aa67bb,4,0,0,0,0,0,0,0,0,127.319892,37.71031587,100,13
다사81bb62bb,2,0,0,0,0,0,0,0,0,127.2944895,37.66520751,100,8
다사70bb62aa,4,0,0,0,0,0,0,0,0,127.1697974,37.65816432,,8
다사77ba49ba,9,0,0,0,0,1,0,0,0,127.2467065,37.54568593,100,86
다사81aa47bb,5,0,0,0,0,0,0,0,0,127.2863725,37.52999057,100,11
다사73ba70bb,3,3,0,1,0,0,0,0,0,127.2006579,37.73711333,100,6
다사82ab48ab,0,0,0,0,0,0,0,0,0,127.300508,37.5345221,100,22
다사66bb61ab,1,7,0,0,1,0,0,0,0,127.1244825,37.65126873,100,1250
다사74ba68aa,23,0,0,0,0,0,0,0,0,127.2121032,37.71235528,100,7
다사83bb59bb,9,0,0,0,0,0,0,0,0,127.3172327,37.63820467,100,8
다사72aa59aa,2,0,0,0,0,0,0,0,0,127.1840835,37.63116321,,0
다사82bb71aa,2,1,0,0,0,0,0,1,0,127.3056339,37.73958649,100,10
다사80bb49aa,0,0,0,0,0,0,0,0,0,127.2835105,37.54125235,,0
다사85ab66ab,31,0,0,0,0,0,0,0,0,127.3341038,37.69681671,100,12
다사69bb65ab,8,0,0,0,0,0,0,0,0,127.1583258,37.68742507,100,47
다사83aa54aa,0,0,0,0,0,0,0,0,0,127.3088646,37.58636389,100,8
다사77bb61bb,14,22,1,2,1,0,0,0,0,127.2491661,37.65610644,100,1188
다사81aa51bb,0,0,0,0,0,0,0,0,0,127.2862696,37.56604469,100,0
다사82bb57aa,4,0,0,0,0,0,0,0,0,127.3059628,37.61339966,,0
다사70aa56bb,0,51,0,0,4,0,0,0,0,127.1615091,37.61082037,100,3226
다사83ba52ab,2,0,0,0,0,0,0,0,0,127.3145669,37.5705993,100,17
다사81bb61ab,1,1,0,0,0,0,0,0,0,127.2945267,37.65168746,100,570
다사82aa65bb,3,0,0,0,0,0,0,0,0,127.2972505,37.69225242,100,30
다사76ab72bb,2,0,0,0,0,0,0,0,0,127.2318036,37.75521483,100,0
다사73ba71aa,1,7,0,0,2,0,0,0,0,127.2006489,37.73936662,100,1543
다사73ab72ab,15,0,0,0,0,0,0,0,0,127.1977656,37.75062584,100,6
다사81bb59ab,8,0,0,0,0,0,0,0,0,127.2945764,37.63366068,100,0
다사73ba65ab,10,0,0,0,0,0,0,0,0,127.2008573,37.68754063,,0
다사73ab56aa,12,0,0,0,0,0,0,0,0,127.1983592,37.60416021,100,11
다사73ba59ba,8,0,0,0,0,0,0,0,0,127.2010652,37.63571417,100,608
다사77aa50ab,5,0,0,0,0,0,0,0,0,127.241023,37.55243378,100,49
다사75ba71aa,51,0,0,0,0,0,0,0,0,127.2233482,37.73942208,100,26
다사73ab70ba,6,0,0,0,0,0,0,0,0,127.1978298,37.73485279,100,169
다사72bb61ba,3,0,0,0,0,0,0,0,0,127.1924905,37.65371896,100,0
다사67bb71ab,1,0,0,0,0,0,0,0,0,127.1353775,37.7414361,100,0
다사81ba53bb,0,0,0,0,0,0,0,0,0,127.2918811,37.58408179,100,0
다사69bb55ba,6,11,0,0,0,0,0,0,6,127.1587281,37.59954553,100,1373
다사82ba59ab,21,0,0,0,0,0,0,0,0,127.3030766,37.63367517,100,178
다사73ba66ab,2,14,0,0,0,0,0,0,0,127.2008211,37.69655388,100,2002
다사82ba58ab,15,0,0,0,0,0,0,0,0,127.3031004,37.62466176,100,20
다사85ba66ba,3,0,0,0,0,0,0,0,0,127.3369347,37.69907399,100,16
다사72ba68ba,3,1,0,1,0,0,0,0,0,127.1893933,37.71680429,100,0
다사70ba60ab,1,0,0,0,0,0,0,0,0,127.1670335,37.6423831,,0
다사88bb63ab,2,0,0,0,0,0,0,0,0,127.3738512,37.66982579,100,22
다사72ab60ab,4,0,0,0,0,0,0,0,0,127.1868695,37.64243742,100,7
다사85ba66bb,3,0,0,0,0,0,0,0,0,127.3369298,37.70132733,100,10
다사75aa68ba,11,0,0,0,0,0,0,0,0,127.2177589,37.71687561,100,12
다사82ba69bb,5,0,0,0,0,0,0,0,0,127.3028263,37.7283152,100,20
다사73aa55aa,30,0,0,0,0,0,0,0,0,127.1955637,37.59513955,,40
다사84ba59ab,20,0,0,0,0,0,0,0,0,127.3257439,37.63371083,100,0
다사82bb69ab,12,0,0,0,0,0,0,0,0,127.3056751,37.72381328,100,6
다사88aa63bb,1,0,0,0,0,0,0,0,0,127.3653386,37.67432307,100,22
다사81aa58bb,13,1,0,0,0,0,0,0,0,127.2860891,37.62913887,,0
다사69aa56bb,15,0,0,0,0,0,0,0,0,127.1501791,37.61078733,100,221
다사72bb73ab,17,0,0,0,0,0,0,0,0,127.1920526,37.75962429,100,47
다사77bb66ba,9,0,0,0,0,0,0,0,0,127.2490219,37.69891965,,0
다사76bb55ba,12,0,0,0,0,0,0,0,0,127.2380269,37.59974818,100,30
다사74ab53ba,0,0,0,0,0,0,0,0,0,127.2097758,37.5816551,100,165
다사83aa68ba,1,0,0,0,0,0,0,0,0,127.3085293,37.71705796,100,24
다사70aa60ba,16,0,0,0,0,0,0,0,0,127.1613558,37.64462029,100,43
다사82bb61ba,25,0,1,0,0,1,0,0,0,127.3058573,37.65396001,100,340
다사74aa59ba,27,2,0,1,0,1,0,0,0,127.2067321,37.6357284,100,865
다사82ba69aa,7,0,0,0,0,0,0,0,0,127.3028442,37.72155525,100,53
다사79ab48ba,0,0,0,0,0,0,0,0,0,127.2665451,37.53671324,,0
