번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),점포구분명
1,대규모점포,08_25_01_P,3000000,2.02E+18,20220628,,1,영업/정상,5,영업개시전,,,,,02-2006-2678,297,,서울특별시 종로구 무악동 82 무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",3025,GS THE FRESH 무악현대점,2.02E+13,I,22:30.0,대형마트,196467.9751,452566.134,준대규모점포
2,대규모점포,08_25_01_P,3070000,2.01E+18,20080529,,1,영업/정상,1,정상영업,,,,,02-944-1052,10006,136800,서울특별시 성북구 길음동 25번지 2호,서울특별시 성북구 도봉로 17 (길음동),136800,이마트 미아점,2.02E+13,U,40:00.0,대형마트,202555.3009,456503.0662,대규모점포
3,대규모점포,08_25_01_P,3070000,2.01E+18,20120224,,1,영업/정상,1,정상영업,,,,,02-6936-1251,10745,136735,서울특별시 성북구 하월곡동 230번지 동일하이빌뉴시티아파트,"서울특별시 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티아파트)",136735,이마트 하월곡점,2.02E+13,U,40:00.0,대형마트,202667.4688,455858.9208,대규모점포
4,대규모점포,08_25_01_P,3070000,2.00E+18,20080529,,1,영업/정상,1,정상영업,,,,,203805234,10006,,서울특별시 성북구 길음동 25번지 2호,,,신세계이마트미아점,2.01E+13,I,59:59.0,대형마트,202555.3009,456503.0662,
5,대규모점포,08_25_01_P,3070000,2.00E+18,20040922,,1,영업/정상,1,정상영업,,,,,02-944-1234,18964,136111,서울특별시 성북구 길음동 25번지 2호,서울특별시 성북구  도봉로  17 (길음동),136111,이마트 미아점,2.01E+13,I,59:59.0,대형마트,202555.3009,456503.0662,대규모점포
6,대규모점포,08_25_01_P,3070000,2.01E+18,20100428,,1,영업/정상,1,정상영업,,,,,9203485,10006,,서울특별시 성북구 길음동 25번지 2호 신세계 이마트 미아점,"서울특별시 성북구 도봉로 17, 신세계 이마트 미아점 (길음동)",2729,이마트 미아점,2.02E+13,U,40:00.0,대형마트,202555.3009,456503.0662,대규모점포
7,대규모점포,08_25_01_P,3070000,2.01E+18,20100519,,1,영업/정상,1,정상영업,,,,,928-1346,17817,136865,서울특별시 성북구 월곡2동 46번지 73호,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클래스)",136743,홈플러스 월곡점,2.02E+13,U,40:00.0,대형마트,203502.0041,455500.569,대규모점포
8,대규모점포,08_25_01_P,3070000,2.01E+18,20100630,,1,영업/정상,1,정상영업,,,,,02-944-1051,19201,136735,서울특별시 성북구 길음2동 230번지 동일하이빌뉴시티아파트,"서울특별시 성북구 종암로 167,  동 (하월곡동)",136130,이마트 하월곡점,2.01E+13,I,59:59.0,대형마트,202667.4688,455858.9208,대규모점포
9,대규모점포,08_25_01_P,3060000,2.01E+18,20060828,,1,영업/정상,1,정상영업,,,,,220248124,11101,131132,서울특별시 중랑구 신내2동 645번지,서울특별시 중랑구 신내로 201 (신내동),131872,홈플러스 신내점,2.02E+13,U,40:00.0,대형마트,208208.7867,457054.7937,대규모점포
10,대규모점포,08_25_01_P,3060000,2.01E+18,20000503,,1,영업/정상,1,정상영업,,,,,02-490-1052,9961.6,131230,서울특별시 중랑구 망우동 506번지 1호,서울특별시 중랑구 상봉로 118 (망우동),131809,주식회사 이마트 상봉점,2.02E+13,U,40:00.0,대형마트,208183.5589,454911.2485,대규모점포
11,대규모점포,08_25_01_P,3060000,2.01E+18,20100721,,1,영업/정상,1,정상영업,,,,,02-380-9426,5100.83,131141,서울특별시 중랑구 묵1동 170번지 1호 외 35필지,서울특별시 중랑구 동일로 932 (묵동),131757,주식회사 이마트 묵동점,2.02E+13,U,40:00.0,대형마트,206777.7314,456837.2196,대규모점포
12,대규모점포,08_25_01_P,3060000,2.01E+18,20101229,,1,영업/정상,1,정상영업,,,,,269228100,22618.65,131221,서울특별시 중랑구 상봉1동 500번지,"서울특별시 망우로 353-0 (상봉동, 프레미어스 엠코)",131857,홈플러스(주) 서울 상봉점,2.02E+13,U,40:00.0,대형마트,207923.7459,455090.7183,대규모점포
