도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
글빛도서관,서울특별시,성북구,공공도서관,월+법정공휴일,9:00,18:00,9:00,18:00,9:00,18:00,194,19562,19,0,5,14,서울특별시 성북구 길음로7길 20,성북문화재단,02-6956-0559,4143,923.67,https://www.sblib.seoul.kr/sblib/,37.60375093,127.0224649,2022-08-16,3070000,서울특별시 성북구
구립김영삼도서관,서울특별시,동작구,공공도서관,"매주 월요일, 법정공휴일",9:00,22:00,9:00,17:00,0:00,0:00,245,32251,45,151,5,14,서울특별시 동작구 매봉로1,서울특별시 동작구청,02-827-0557,1245,6492.72,http://lib.dongjak.go.kr/,37.50547361,126.9499672,2022-04-20,3190000,서울특별시 동작구
사당솔밭도서관,서울특별시,동작구,공공도서관,"매주 월요일, 법정공휴일",9:00,22:00,9:00,17:00,0:00,0:00,280,65027,31,344,5,14,서울특별시 동작구 솔밭로 86,서울특별시 동작구청,02-585-8411,822.16,1724.86,http://lib.dongjak.go.kr/,37.484056,126.967369,2022-04-20,3190000,서울특별시 동작구
동작어린이도서관,서울특별시,동작구,공공도서관,"매주 월요일, 법정공휴일",9:00,18:00,9:00,17:00,0:00,0:00,130,50442,13,1149,5,14,서울특별시 동작구 장승배기로16길 98,서울특별시 동작구청,02-823-6750,1544,444,http://lib.dongjak.go.kr/,37.50920443,126.943434,2022-04-20,3190000,서울특별시 동작구
대방어린이도서관,서울특별시,동작구,공공도서관,"매주 월요일, 법정공휴일",9:00,18:00,9:00,17:00,0:00,0:00,52,27168,13,342,5,14,서울특별시 동작구 대방동길 55,서울특별시 동작구청,02-813-6740,378,391,http://lib.dongjak.go.kr/,37.50302422,126.9252221,2022-04-20,3190000,서울특별시 동작구
약수도서관,서울특별시,동작구,공공도서관,"매주 월요일, 법정공휴일",9:00,18:00,9:00,17:00,0:00,0:00,47,69841,8,2030,5,14,서울특별시 동작구 양녕로22바길 64,서울특별시 동작구청,02-823-1907,519,598.9,http://lib.dongjak.go.kr/,37.497851,126.9474396,2022-04-20,3190000,서울특별시 동작구
동작샘터도서관,서울특별시,동작구,작은도서관,"매주 월요일, 법정공휴일",9:00,18:00,9:00,17:00,0:00,0:00,22,24346,13,345,5,14,서울특별시 동작구 동작대로29길 63-26,서울특별시 동작구청,02-533-6750,501,241,http://lib.dongjak.go.kr/,37.4883609,126.977553,2022-04-20,3190000,서울특별시 동작구
다울작은도서관,서울특별시,동작구,작은도서관,"매주 월요일, 법정공휴일",9:00,18:00,9:00,17:00,0:00,0:00,20,6797,6,0,5,14,서울특별시 동작구 사당로20길132,서울특별시 동작구청,02-3473-3360,166,183,http://lib.dongjak.go.kr/,37.4788487,126.973246,2022-04-20,3190000,서울특별시 동작구
국사봉숲속작은도서관,서울특별시,동작구,작은도서관,"매주 일요일, 법정공휴일",10:00,18:00,10:00,18:00,0:00,0:00,12,3006,1,0,5,14,서울특별시 동작구 양녕로23길27,서울특별시 동작구청,02-820-9221,36,36,http://lib.dongjak.go.kr/,37.49543206,126.9405909,2022-04-20,3190000,서울특별시 동작구
우리소리도서관,서울특별시,종로구,작은도서관,일+1월1일+설+추석+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,40,4189,0,1062,5,15,"서울특별시 종로구 삼일대로30길 47(종로14가동 주민센터 4,5층)",종로문화재단,070-4550-5015,670.1,587.8,http://lib.jongno.go.kr/,37.5744931,126.9902329,2022-04-18,3000000,서울특별시 종로구
청운문학도서관,서울특별시,종로구,공공도서관,월+1월1일+설+추석,10:00,21:00,10:00,21:00,10:00,19:00,115,34046,0,9,5,15,서울특별시 종로구 자하문로36길 40,종로문화재단,070-4680-4032,1238.5,744.8,http://lib.jongno.go.kr/,37.5903786,126.9659189,2022-04-18,3000000,서울특별시 종로구
