car_num,단속일시,과태료,단속지역,단속장소,단속조명,사진,처리상태,적용법조,위반내용,차종,차명,차량구분,견인지시,발행번호,단속구분
03두0891,2020-04-23 14:59,32000,장안동,371-10,주행형CCTV,5,자납,32,보도,승용,렉스턴,일반,미견인,3ead5799-d,주행형CCTV
90두1800,2020-04-23 15:00,32000,장안동,372-4,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,포터Ⅱ(PORTERⅡ),일반,미견인,8081156c-7,주행형CCTV
서울31자7924,2020-04-23 15:01,32000,장안동,364-1,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,b6a69aa7-c,주행형CCTV
65더3297,2020-04-23 15:02,32000,장안동,435-7,주행형CCTV,5,자납,34,주차방법위반,승용,디스커버리 스포츠 TD4 150PS,일반,미견인,99560b31-9,주행형CCTV
서울31자9030,2020-04-23 15:10,40000,장안동,365-1,주행형CCTV,5,수시분수납,32,횡단보도,승용,K7,일반,미견인,58da5757-7,주행형CCTV
서울71바8124,2020-04-23 15:11,40000,장안동,435-5,주행형CCTV,5,자납,34,주차방법위반,승합,그랜드 스타렉스(GRAND STAREX),일반,미견인,4f643fe5-7,주행형CCTV
40호4217,2020-04-23 15:11,40000,장안동,435-6,주행형CCTV,5,압류예정,34,주차방법위반,승용,그랜저(GRANDEUR),일반,미견인,b1d3a45f-a,주행형CCTV
108가4193,2020-04-23 15:14,40000,장안동,435-5,주행형CCTV,5,압류해제수납,34,주차방법위반,승용,셀토스,일반,미견인,733b4e26-d,주행형CCTV
서울34사1223,2020-04-23 15:26,32000,장안동,363-1,주행형CCTV,5,자납,34,주차방법위반,승용,K5,일반,미견인,c0fd223e-2,주행형CCTV
01하2412,2020-04-23 15:27,40000,장안동,435-7,주행형CCTV,5,압류예정분수납,34,주차방법위반,승용,K5,일반,미견인,a8fa68eb-5,주행형CCTV
83루8394,2020-04-23 17:21,32000,장안동,464-1,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,그랜드 스타렉스(GRAND STAREX),일반,미견인,8d4ac3f8-9,주행형CCTV
서울34아7693,2020-04-23 17:22,32000,장안동,433-3,주행형CCTV,5,자납,32,횡단보도,승용,쏘나타(SONATA),일반,미견인,a53da8e5-f,주행형CCTV
24소7534,2020-04-23 17:34,32000,장안동,469-14,주행형CCTV,5,자납,34,주차방법위반,승용,CR-V 4WD,일반,미견인,3ae1698d-b,주행형CCTV
93나9269,2020-04-23 17:34,40000,장안동,367-2,주행형CCTV,5,압류,34,주차방법위반,화물4톤이하,라보롱카고,일반,미견인,074674af-f,주행형CCTV
서울32아3541,2020-04-23 17:35,32000,장안동,366-6,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,1d5b8867-d,주행형CCTV
서울32자5022,2020-04-23 17:35,32000,장안동,366-6,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,a9130368-a,주행형CCTV
09수7720,2020-04-23 17:35,32000,장안동,366-6,주행형CCTV,5,자납,34,주차방법위반,승용,트랙스 1.4,일반,미견인,fc2784ab-d,주행형CCTV
서울31자8301,2020-04-23 17:36,32000,장안동,372-5,주행형CCTV,5,자납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,86b52f10-0,주행형CCTV
51너6038,2020-04-23 17:36,16000,장안동,469-8,주행형CCTV,5,자납,34,주차방법위반,승용,싼타페(SANTAFE),일반,미견인,7e79cd75-d,주행형CCTV
81라9923,2020-04-23 17:36,32000,장안동,364-3,주행형CCTV,5,자납,34,주차방법위반,화물4톤이하,그랜드 스타렉스(GRAND STAREX),일반,미견인,935da218-4,주행형CCTV
27호2489,2020-04-23 17:36,40000,장안동,364-1,주행형CCTV,5,압류예정,34,주차방법위반,승용,K5,일반,미견인,9483ca0c-a,주행형CCTV
59노2339,2020-04-23 17:37,32000,장안동,363-8,주행형CCTV,5,자납,34,주차방법위반,승용,제네시스(GENESIS),일반,미견인,56c0ab27-2,주행형CCTV
43우3699,2020-04-23 17:41,40000,장안동,366-1,주행형CCTV,5,압류해제수납,34,주차방법위반,승용,벤츠S350L,일반,미견인,ba099aa4-8,주행형CCTV
47마8473,2020-04-23 17:42,32000,장안동,469-6,주행형CCTV,5,자납,34,주차방법위반,승용,SM3,일반,미견인,7b2f35d7-b,주행형CCTV
24호5744,2020-04-23 17:43,40000,장안동,364-2,주행형CCTV,5,압류예정분수납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,332eb6ba-2,주행형CCTV
01하2412,2020-04-23 17:45,10000,장안동,435-6,주행형CCTV,5,압류예정분수납,34,주차방법위반,승용,K5,일반,미견인,8a16ce9a-d,주행형CCTV
39마4758,2020-04-23 17:45,40000,장안동,435-6,주행형CCTV,5,압류예정분수납,34,주차방법위반,승용,SM6,일반,미견인,fc119c4c-a,주행형CCTV
26더4987,2020-04-24 10:15,40000,장안동,429-2,주행형CCTV,5,압류해제수납,32,교차로,승용,렉서스RX400h,일반,미견인,9dcbae84-b,주행형CCTV
238주5838,2020-04-24 10:15,40000,장안동,430-3,주행형CCTV,5,수시분수납,34,주차방법위반,승용,쏘나타(SONATA),일반,미견인,c9064744-d,주행형CCTV
30우3621,2020-04-24 10:15,32000,장안동,430-2,주행형CCTV,5,자납,34,주차방법위반,승용,모닝,일반,미견인,95810b13-0,주행형CCTV
44호1103,2020-04-24 10:15,32000,장안동,430-3,주행형CCTV,5,자납,34,주차방법위반,승용,카니발,일반,미견인,89e51efd-9,주행형CCTV
63소8186,2020-04-24 10:33,40000,장안동,472-2,주행형CCTV,5,압류,34,주차방법위반,승용,아반떼(AVANTE),일반,미견인,8c5899ec-6,주행형CCTV
