adr,ymd,chenap_count,amount_car,chenap_adr1,chenap_adr2,lng,lat
동대문구,2020-09-03,2,251340,철원군,동송읍 북원로,127.039657,37.57452298
동대문구,2020-09-07,3,673510,노원구,마들로,127.039657,37.57452298
동대문구  용두동 홈플러스,2020-09-14,8,1746530,동대문구,사가정로15길,127.038773,37.5744985
동대문구  휘경2치안센터,2020-09-21,2,127200,중랑구,상봉로25길,127.064504,37.5882005
동대문구,2020-09-21,2,398860,동대문구,왕산로,127.039657,37.57452298
동대문구,2020-09-21,2,388560,동대문구,왕산로,127.039657,37.57452298
동대문구,2020-09-25,2,331520,종로구,지봉로,127.039657,37.57452298
동대문구  휘경동 동일하이빌,2020-09-25,2,55760,성동구,뚝섬로17가길,127.07359,37.5825552
동대문구 전농제2동 답십리1동 황물로사거리,2020-10-07,3,582840,동대문구,답십리로52길,127.051844,37.5690426
동대문구,2020-10-12,2,127200,동대문구,장한로33길,127.039657,37.57452298
동대문구,2020-10-15,2,266820,동대문구,답십리로23길,127.039657,37.57452298
서울 동대문구 천호대로 145,2020-10-16,4,546450,동대문구,한천로24길,127.0398966,37.57439172
동대문구,2020-10-16,3,83640,동대문구,한천로26길,127.039657,37.57452298
동대문구 전농제2동 장안동 364-9,2020-10-19,1,27880,김포시,통진읍,127.069853,37.5682587
서울 동대문구 천호대로 145,2020-10-22,8,1603620,동대문구,홍릉로,127.0398966,37.57439172
동대문구  사가정로 153,2020-10-28,1,214150,동대문구,사가정로,127.0617856,37.5781734
동대문구  장한로27길 11,2020-11-02,2,485800,중구,동호로20길,127.071081,37.57295205
동대문구,2020-11-02,2,314500,광진구,동일로50길,127.039657,37.57452298
동대문구,2020-11-03,2,428020,광진구,긴고랑로36길,127.039657,37.57452298
서울 동대문구 천호대로 145,2020-11-06,4,791370,강서구,마곡서로,127.0398966,37.57439172
동대문구,2020-11-09,3,83640,중랑구,용마산로,127.039657,37.57452298
동대문구,2020-11-10,2,127200,강동구,양재대로138길,127.039657,37.57452298
동대문구  이문로1길 8-6,2020-11-10,4,991440,동대문구,경희대로3길,127.0536952,37.58880313
동대문구,2020-11-10,2,127200,강동구,양재대로138길,127.039657,37.57452298
동대문구 이문로9길 42,2020-11-11,3,760700,중랑구,동일로157나길,127.0564424,37.59411221
동대문구 청량리역,2020-11-11,7,1010180,동대문구,서울시립대로14길,127.046973,37.5809647
동대문구  장안1동 392-3,2020-11-12,1,186430,부산진구,성지로35번길,127.0670834,37.56961476
서울 동대문구 천호대로 145,2020-11-25,2,494150,노원구,동일로227길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2020-11-27,3,434050,서대문구,세검정로1길,127.0398966,37.57439172
동대문구 답십리제2동 장안1동 375-10,2021-03-02,2,428300,동대문구,답십리로59길,127.067452,37.5668815
동대문구 답십리제2동,2021-03-03,2,355620,동대문구,장한로26다길,127.0612863,37.5673274
동대문구 전농제1동 망우로10가길 14-3,2021-03-04,2,157230,동대문구,망우로16길,127.057517,37.5865913
동대문구 전농제1동 망우로 40,2021-03-04,2,372240,광진구,뚝섬로52라길,127.058006,37.5890778
서울 동대문구 용신동,2021-03-04,3,494880,마포구,성미산로17길,127.0372623,37.57580317
서울 동대문구 장한로 21길,2021-03-04,2,408420,용산구,한강대로43길,127.069107,37.5702773
동대문구 답십리제2동,2021-03-04,1,63600,중랑구,사가정로46길,127.0612863,37.5673274
동대문구 답십리제2동 답십리1동 497-76,2021-03-05,3,500670,은평구,갈현로11길,127.061014,37.5707682
동대문구 답십리제2동 답십리1동 484-24,2021-03-05,1,133280,구리시,동구릉로148번길,127.052467,37.5690063
동대문구 전농제1동 휘경로31길45,2021-03-08,4,534720,동대문구,휘경로31길,127.06716,37.5960016
