주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,5,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
105-1-000001,회기역 주변,공영,노상,서울특별시 동대문구 망우로21,서울특별시 동대문구 휘경동 255,81,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.58829448,127.055742,2022-01-20,3050000,서울특별시 동대문구
105-1-000002,청량리시장제4,공영,노상,서울특별시 동대문구 경동시장로47,서울특별시 동대문구 제기동 768,50,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:00,0:00,유료,15,500,15,300,,,120000,신용카드,"경차,저공해50, 장애인,고엽제,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50, 외교공관,외교관, 모범납세자 100",서울특별시 동대문구청,02-6929-0875,37.58325164,127.0401598,2022-01-20,3050000,서울특별시 동대문구
105-1-000003,청량리시장제3,공영,노상,서울특별시 동대문구 경동시장로40,서울특별시 동대문구 제기동 620-2,66,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,15:00,0:00,0:00,유료,15,500,15,500,,,,신용카드,"경차,저공해50, 장애인,고엽제,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50, 외교공관,외교관, 모범납세자 100",서울특별시 동대문구청,02-6929-0875,37.58242616,127.040656,2022-01-20,3050000,서울특별시 동대문구
105-1-000004,청량리시장제2,공영,노상,서울특별시 동대문구 경동시장로19-1,서울특별시 동대문구 제기동 988,45,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,18:00,9:00,18:00,혼합,15,500,15,500,,,,현금,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.5807432,127.0403784,2022-01-20,3050000,서울특별시 동대문구
105-1-000005,청량리시장제1,공영,노상,서울특별시 동대문구 경동시장로 1,서울특별시 동대문구 제기동 1000,48,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,18:00,9:00,18:00,혼합,15,500,15,500,,,,현금,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.57913563,127.0409546,2022-01-20,3050000,서울특별시 동대문구
105-1-000006,동대문소방서,공영,노상,서울특별시 동대문구 장한로34,서울특별시 동대문구 장안동 434,9,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.5637529,127.0667254,2022-01-20,3050000,서울특별시 동대문구
105-1-000007,답십리부품상가,공영,노상,서울특별시 동대문구 황물로 17길13,서울특별시 동대문구 답십리동 959-1,79,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.56472665,127.0586628,2022-01-20,3050000,서울특별시 동대문구
105-1-000008,용두동청계주변,공영,노상,서울특별시 동대문구 청계천로 5길 47,서울특별시 동대문구 신설동 97-1,52,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.57303077,127.0275891,2022-01-20,3050000,서울특별시 동대문구
105-1-000009,신답고가,공영,노상,서울특별시 동대문구 고미술로11,서울특별시 동대문구 답십리동 530-5,22,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.5700305,127.0504071,2022-01-20,3050000,서울특별시 동대문구
105-1-000010,삼희상가,공영,노상,서울특별시 동대문구 황물로150,서울특별시 동대문구 답십리동 530-14,17,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.56640082,127.0546418,2022-01-20,3050000,서울특별시 동대문구
105-1-000011,정릉천변,공영,노상,서울특별시 동대문구 정릉천동로107,서울특별시 동대문구 제기동 1204,58,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.58191245,127.0355354,2022-01-20,3050000,서울특별시 동대문구
105-1-000012,신일피혁주변,공영,노상,서울특별시 동대문구 장한로12길18,서울특별시 동대문구 장안동 437-1,17,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.56550691,127.0686919,2022-01-20,3050000,서울특별시 동대문구
105-1-000013,이경시장옆,공영,노상,서울특별시 동대문구 외대역동로81,서울특별시 동대문구 이문동 85-22,27,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:01,0:01,혼합,10,500,10,500,,,120000,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 30",서울특별시 동대문구청,02-6929-0875,37.5955554,127.0649013,2022-01-20,3050000,서울특별시 동대문구
105-1-000020,제기동공영주차장,공영,노상,서울특별시 동대문구 경동시장로50,서울특별시 동대문구 제기동 424,20,2,미시행,평일+토요일,9:00,19:00,9:00,15:00,0:00,0:00,유료,10,500,10,500,,,,현금+신용카드,"경차,저공해50, 장애인,국가유공자80,다둥이 2자녀 30, 다둥이 3자녀 50,승용차요일제 31",서울특별시 동대문구청,02-6929-0876,,,2022-01-20,3050000,서울특별시 동대문구
