"id","nm","adr","x","y","park_lot"
1,"","서울특별시 동대문구 답십리동 1-119번지",127.0669667,37.57519315,6
2,".","서울특별시 동대문구 답십리동 1-122번지",127.0669172,37.57500181,1
3,"","서울특별시 동대문구 답십리동 1-125번지",127.0667825,37.57460941,4
4,"","서울특별시 동대문구 답십리동 1-136번지",127.0670233,37.57483056,8
5,"","서울특별시 동대문구 답십리동 1-140번지",127.0668934,37.57492974,1
6,"스토리하우스","서울특별시 동대문구 답십리동 1-142번지",127.0668436,37.57478363,1
7,"","서울특별시 동대문구 답십리동 1-174번지",127.0661846,37.57630542,10
8,"","서울특별시 동대문구 답십리동 1-201번지",127.0662427,37.57615564,1
9,"","서울특별시 동대문구 답십리동 1-240번지",127.0666161,37.57611903,2
10,"","서울특별시 동대문구 답십리동 1-241번지",127.0664927,37.57613469,2
11,"","서울특별시 동대문구 답십리동 1-26번지",127.0666737,37.57432278,4
12,"","서울특별시 동대문구 답십리동 1-301번지",127.0661156,37.57418281,2
13,"","서울특별시 동대문구 답십리동 1-302번지",127.066077,37.57409642,3
14,"","서울특별시 동대문구 답십리동 1-303번지",127.0660465,37.57401075,2
15,"","서울특별시 동대문구 답십리동 1-304번지",127.0660194,37.57387292,3
16,"","서울특별시 동대문구 답십리동 1-306번지",127.0659757,37.57376347,1
17,"","서울특별시 동대문구 답십리동 1-333번지",127.0662852,37.57337506,4
18,"","서울특별시 동대문구 답십리동 1-336번지",127.0671705,37.57603339,2
19,"엔젤스타워","서울특별시 동대문구 답십리동 1-364번지",127.066487,37.57352983,5
20,"두리아트빌(A동)","서울특별시 동대문구 답십리동 1-4번지",127.0668451,37.57613305,7
21,"","서울특별시 동대문구 답십리동 1-52번지",127.0672549,37.57574115,3
22,"","서울특별시 동대문구 답십리동 1-548번지",127.0665211,37.57632226,10
23,"","서울특별시 동대문구 답십리동 1-6번지",127.0667376,37.57624393,4
24,"","서울특별시 동대문구 답십리동 1-90번지",127.0663357,37.5739304,5
25,"","서울특별시 동대문구 답십리동 1-91번지",127.0664873,37.57380139,1
26,"","서울특별시 동대문구 답십리동 1-99번지",127.0668958,37.57643332,3
27,"답십리제2동주민센터","서울특별시 동대문구 답십리동 10-2번지",127.0612724,37.56739282,7
28,"동아아파트","서울특별시 동대문구 답십리동 10-3번지",127.0617477,37.56772387,21
29,"래미안엘파인아파트","서울특별시 동대문구 답십리동 1000-1번지",127.0668511,37.57561092,43
30,"보배교회","서울특별시 동대문구 답십리동 1001-1번지",127.0490586,37.57388236,3
31,"동명교회","서울특별시 동대문구 답십리동 1003-1번지",127.0552853,37.57255037,26
32,"세기프라자","서울특별시 동대문구 답십리동 1003-2번지",127.0556422,37.57247271,49
33,"답십리 지구대","서울특별시 동대문구 답십리동 1004-1번지",127.0511475,37.57128129,3
34,"","서울특별시 동대문구 답십리동 1004-2번지",127.0512725,37.571186,2
35,"","서울특별시 동대문구 답십리동 1004-3번지",127.0532697,37.56991444,39
36,"","서울특별시 동대문구 답십리동 1004-5번지",127.0534184,37.56955974,6
37,"답십리재림교회","서울특별시 동대문구 답십리동 1004-6번지",127.0554883,37.57077045,10
38,"","서울특별시 동대문구 답십리동 1009-2번지",127.0490331,37.57097675,4
39,"예뜰어린이집","서울특별시 동대문구 답십리동 1012-2번지",127.0550975,37.57496854,4
40,"답십리 뉴타운 카운티 에비뉴","서울특별시 동대문구 답십리동 1012번지",127.0549447,37.57524729,69
41,"답십리엘림퍼스트","서울특별시 동대문구 답십리동 1015번지",127.0564759,37.56886266,73
42,"동아아파트","서울특별시 동대문구 답십리동 10번지",127.0617084,37.56934225,11
43,"","서울특별시 동대문구 답십리동 12-11번지",127.0612573,37.56710937,3
44,"진보빌라","서울특별시 동대문구 답십리동 12-12번지",127.0610736,37.56706361,6
45,"","서울특별시 동대문구 답십리동 12-157번지",127.0616356,37.56720486,1
