순번,대지위치,시군구코드,법정동코드,관리건축물대장PK,도로명대지위치,건물명,주용도코드,옥내기계식대수(대),옥외기계식대수(대),옥내자주식대수(대),옥외자주식대수(대),총주차면수,위치별선택,X,Y
11505,서울특별시 동대문구 답십리동 1-119번지,11230,10500,11230-27905,서울특별시 동대문구 답십리로59길 57,,2000,0,0,4,2,6,1,127.0669667,37.57519315
11507,서울특별시 동대문구 답십리동 1-122번지,11230,10500,11230-100259675,서울특별시 동대문구 답십리로59길 53,.,1000,0,0,0,1,1,1,127.0669172,37.57500181
11508,서울특별시 동대문구 답십리동 1-125번지,11230,10500,11230-100202952,서울특별시 동대문구 답십리로59길 43,,2000,0,0,0,4,4,1,127.0667825,37.57460941
11510,서울특별시 동대문구 답십리동 1-136번지,11230,10500,11230-31065,서울특별시 동대문구 한천로 155,,3000,0,0,4,4,8,1,127.0670233,37.57483056
11511,서울특별시 동대문구 답십리동 1-140번지,11230,10500,11230-32300,서울특별시 동대문구 답십리로59길 51,,1000,0,0,0,1,1,1,127.0668934,37.57492974
11513,서울특별시 동대문구 답십리동 1-142번지,11230,10500,11230-100237892,서울특별시 동대문구 답십리로59길 47,스토리하우스,1000,0,0,0,1,1,1,127.0668436,37.57478363
11518,서울특별시 동대문구 답십리동 1-174번지,11230,10500,11230-21228,서울특별시 동대문구 한천로37길 23,,4000,0,0,8,2,10,1,127.0661846,37.57630542
11519,서울특별시 동대문구 답십리동 1-201번지,11230,10500,11230-22575,서울특별시 동대문구 한천로33길 13-16,,1000,0,0,0,1,1,1,127.0662427,37.57615564
11520,서울특별시 동대문구 답십리동 1-240번지,11230,10500,11230-34575,서울특별시 동대문구 한천로33길 13-8,,1000,0,0,1,1,2,1,127.0666161,37.57611903
11521,서울특별시 동대문구 답십리동 1-241번지,11230,10500,11230-18923,서울특별시 동대문구 한천로33길 13-12,,1000,0,0,2,0,2,1,127.0664927,37.57613469
11523,서울특별시 동대문구 답십리동 1-26번지,11230,10500,11230-27106,서울특별시 동대문구 답십리로59길 37,,1000,0,0,2,2,4,1,127.0666737,37.57432278
11529,서울특별시 동대문구 답십리동 1-301번지,11230,10500,11230-30691,서울특별시 동대문구 답십리로59가길 20,,1000,0,0,2,0,2,1,127.0661156,37.57418281
11530,서울특별시 동대문구 답십리동 1-302번지,11230,10500,11230-25331,서울특별시 동대문구 답십리로59가길 18,,1000,0,0,1,2,3,1,127.066077,37.57409642
11531,서울특별시 동대문구 답십리동 1-303번지,11230,10500,11230-9103,서울특별시 동대문구 답십리로59가길 16,,1000,0,0,1,1,2,1,127.0660465,37.57401075
11532,서울특별시 동대문구 답십리동 1-304번지,11230,10500,11230-19867,서울특별시 동대문구 답십리로59가길 14,,4000,0,0,3,0,3,1,127.0660194,37.57387292
11533,서울특별시 동대문구 답십리동 1-306번지,11230,10500,11230-8033,서울특별시 동대문구 답십리로59가길 10,,1000,0,0,0,1,1,1,127.0659757,37.57376347
11539,서울특별시 동대문구 답십리동 1-333번지,11230,10500,11230-32588,서울특별시 동대문구 한천로 137,,11000,0,0,0,4,4,1,127.0662852,37.57337506
11541,서울특별시 동대문구 답십리동 1-336번지,11230,10500,11230-1970,서울특별시 동대문구 한천로 169,,19000,0,0,0,2,2,1,127.0671705,37.57603339
11543,서울특별시 동대문구 답십리동 1-364번지,11230,10500,11230-11702,서울특별시 동대문구 한천로 139,엔젤스타워,14000,0,0,0,5,5,1,127.066487,37.57352983
11551,서울특별시 동대문구 답십리동 1-4번지,11230,10500,11230-3944,서울특별시 동대문구 한천로33길 15,두리아트빌(A동),2000,0,0,6,1,7,1,127.0668451,37.57613305
11553,서울특별시 동대문구 답십리동 1-52번지,11230,10500,11230-28796,서울특별시 동대문구 한천로 165,,4000,0,0,0,3,3,1,127.0672549,37.57574115
