번호,신고일시,구정보,주소,조치일,lon,lat
222,2021-07-19 9:55,영등포구,서울특별시 영등포구 신길동 336-2,2021-07-19 9:58,0,0
1455,2021-08-02 14:50,마포구,서울특별시 마포구 공덕동 385-95,2021-08-02 14:54,0,0
2072,2021-08-06 14:20,마포구,서울특별시 마포구 공덕동 469,2021-08-06 14:35,0,0
5529,2021-09-08 15:58,마포구,서울특별시 마포구 공덕동 464-4,2021-09-08 16:02,0,0
6763,2021-09-16 11:16,송파구,서울특별시 송파구 장지동 257-3,2021-09-16 11:18,0,0
7617,2021-09-27 9:02,동작구,서울특별시 동작구 신대방동 357-23,2021-09-27 9:05,0,0
12663,2021-11-03 15:38,동작구,서울특별시 동작구 신대방동 362-42,2021-11-03 15:40,0,0
14680,2021-11-18 10:28,강서구,서울특별시 강서구 마곡동 811-5,2021-11-18 10:30,0,0
14770,2021-11-18 14:43,강서구,서울특별시 강서구 마곡동 811-5,2021-11-18 14:44,0,0
15273,2021-11-23 10:56,강서구,서울특별시 강서구 마곡동 796-3,2021-11-23 10:57,0,0
15319,2021-11-23 12:33,마포구,서울특별시 마포구 공덕동 385-95,2021-11-23 12:36,0,0
15467,2021-11-24 10:26,강서구,서울특별시 강서구 마곡동 769-3,2021-11-24 10:27,0,0
16131,2021-11-29 11:21,강서구,서울특별시 강서구 마곡동 811-5,2021-11-29 11:35,0,0
16184,2021-11-29 14:35,강서구,서울특별시 강서구 마곡동 803-8,2021-11-29 14:37,0,0
16936,2021-12-03 14:54,강서구,서울특별시 강서구 마곡동 798,2021-12-03 14:56,0,0
16937,2021-12-03 14:55,강서구,서울특별시 강서구 마곡동 798,2021-12-03 14:57,0,0
16939,2021-12-03 14:56,강서구,서울특별시 강서구 마곡동 769-2,2021-12-03 14:57,0,0
17138,2021-12-06 14:08,강서구,서울특별시 강서구 마곡동 776-2,2021-12-06 14:09,0,0
17145,2021-12-06 14:21,강서구,서울특별시 강서구 마곡동 769-3,2021-12-06 14:22,0,0
18792,2021-12-16 10:37,강서구,서울특별시 강서구 마곡동 744,2021-12-16 10:38,0,0
18802,2021-12-16 10:47,강서구,서울특별시 강서구 마곡동 769-3,2021-12-16 10:48,0,0
18806,2021-12-16 10:51,강서구,서울특별시 강서구 마곡동 769-3,2021-12-16 10:53,0,0
18808,2021-12-16 10:52,강서구,서울특별시 강서구 마곡동 769-3,2021-12-16 10:54,0,0
18809,2021-12-16 10:53,강서구,서울특별시 강서구 마곡동 769-2,2021-12-16 10:55,0,0
18811,2021-12-16 10:58,강서구,서울특별시 강서구 마곡동 769-3,2021-12-16 10:59,0,0
19999,2021-12-23 10:20,강서구,서울특별시 강서구 마곡동 769-2,2021-12-23 10:21,0,0
21656,2022-01-04 12:38,광진구,서울특별시 광진구 화양동 111-83,2022-01-04 12:40,0,0
21849,2022-01-05 10:22,강서구,서울특별시 강서구 마곡동 761-2,2022-01-05 10:23,0,0
21861,2022-01-05 10:33,강서구,서울특별시 강서구 마곡동 765,2022-01-05 10:38,0,0
22322,2022-01-06 15:06,강서구,서울특별시 강서구 마곡동 769-2,2022-01-06 15:07,0,0
22476,2022-01-07 10:55,강서구,서울특별시 강서구 마곡동 769-3,2022-01-07 10:56,0,0
22478,2022-01-07 10:56,강서구,서울특별시 강서구 마곡동 769-2,2022-01-07 10:58,0,0
23280,2022-01-11 14:56,강서구,서울특별시 강서구 마곡동 769-3,2022-01-11 14:57,0,0
23281,2022-01-11 14:57,강서구,서울특별시 강서구 마곡동 769-3,2022-01-11 14:58,0,0
23282,2022-01-11 15:01,강서구,서울특별시 강서구 마곡동 769-3,2022-01-11 15:02,0,0
23531,2022-01-12 13:01,마포구,서울특별시 마포구 공덕동 385-72,2022-01-12 13:03,0,0
23571,2022-01-12 14:39,강서구,서울특별시 강서구 마곡동 776-4,2022-01-12 14:40,0,0
23745,2022-01-13 10:38,강서구,서울특별시 강서구 마곡동 769-2,2022-01-13 10:40,0,0
23746,2022-01-13 10:39,강서구,서울특별시 강서구 마곡동 769-3,2022-01-13 10:41,0,0
23885,2022-01-13 15:27,강서구,서울특별시 강서구 마곡동 761-2,2022-01-13 15:29,0,0
24156,2022-01-14 14:21,강서구,서울특별시 강서구 마곡동 769-3,2022-01-14 14:22,0,0
24776,2022-01-18 14:07,강서구,서울특별시 강서구 마곡동 769-3,2022-01-18 14:08,0,0
24777,2022-01-18 14:08,강서구,서울특별시 강서구 마곡동 769-3,2022-01-18 14:10,0,0
24780,2022-01-18 14:09,강서구,서울특별시 강서구 마곡동 769-2,2022-01-18 14:11,0,0
24781,2022-01-18 14:10,강서구,서울특별시 강서구 마곡동 769-2,2022-01-18 14:12,0,0
