"시도코드","시도명","시군구코드","시군구명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"41",경기도,"41190",경기도 부천시,"2013","2013",1.7,3,3,1,64.26
"42",강원도,"42770",강원도 정선군,"2017","2017",-71.74,4,0.92,0,42.91
"42",강원도,"42780",강원도 철원군,"2016","2016",-24.15,2,2.32,0,48.62
"42",강원도,"42780",강원도 철원군,"2013","2013",-32.78,3,1.67,1,37.9
"42",강원도,"42830",강원도 양양군,"2019","2019",-30.05,3,3.63,0,39.42
"42",강원도,"42830",강원도 양양군,"2017","2017",-30.05,5,2.63,0,42.02
"44",충청남도,"44200",충청남도 아산시,"2017","2017",8.63,0,5.42,0,52.02
"45",전라북도,"45210",전라북도 김제시,"2017","2017",-51.96,5,1.56,0,65.6
"45",전라북도,"45770",전라북도 순창군,"2013","2013",-65.72,1,-10.31,0,58.95
"46",전라남도,"46130",전라남도 여수시,"2017","2017",-14.27,5,1.58,0,65.15
"46",전라남도,"46130",전라남도 여수시,"2019","2019",-14.27,5,3.16,0,64.64
"47",경상북도,"47720",경상북도 군위군,"2018","2018",-52.28,2,-0.73,1,62.91
"46",전라남도,"46790",전라남도 화순군,"2014","2014",-42.07,5,3.9,0,58.18
"46",전라남도,"46830",전라남도 영암군,"2013","2013",-41.27,2,-0.57,1,53.33
"47",경상북도,"47190",경상북도 구미시,"2017","2017",2.86,2,3.35,0,46.7
"47",경상북도,"47920",경상북도 봉화군,"2019","2019",-60.15,5,1.37,0,65.72
"48",경상남도,"48330",경상남도 양산시,"2013","2013",16.28,0,5.98,0,37.97
"11",서울특별시,"11440",서울특별시 마포구,"2014","2014",-16.38,3,2.39,0,64.77
"26",부산광역시,"26410",부산광역시 금정구,"2016","2016",-22.96,4,-4.75,1,76.3
"26",부산광역시,"26410",부산광역시 금정구,"2014","2014",-22.43,2,-6.81,1,73.97
"26",부산광역시,"26500",부산광역시 수영구,"2017","2017",-17.81,1,2.45,3,80.55
"27",대구광역시,"27110",대구광역시 중구,"2018","2018",-57.7,2,1.46,1,81.53
"28",인천광역시,"28245",인천광역시 계양구,"2014","2014",2.99,2,-0.12,1,53.43
"28",인천광역시,"28245",인천광역시 계양구,"2018","2018",-3.91,5,1.67,1,60.32
"28",인천광역시,"28245",인천광역시 계양구,"2017","2017",-3.91,4,2.14,1,62.72
"28",인천광역시,"28710",인천광역시 강화군,"2013","2013",-37.65,3,1.97,0,42.51
"28",인천광역시,"28720",인천광역시 옹진군,"2013","2013",-33.19,0,5.31,0,42.5
"30",대전광역시,"30140",대전광역시 중구,"2016","2016",-19.9,3,2.85,0,78.11
"31",울산광역시,"31110",울산광역시 중구,"2014","2014",-5.75,1,0.43,0,68.03
"41",경기도,"41210",경기도 광명시,"2016","2016",-5.57,4,3.53,1,70.31
"41",경기도,"41360",경기도 남양주시,"2016","2016",17.24,0,8.68,0,29.12
"41",경기도,"41360",경기도 남양주시,"2019","2019",17.24,0,3.69,0,30.09
"41",경기도,"41460",경기도 용인시,"2019","2019",10.86,0,5.89,0,29.98
"41",경기도,"41650",경기도 포천시,"2013","2013",-0.84,5,3.71,0,29
"41",경기도,"41820",경기도 가평군,"2016","2016",0.67,0,6.62,0,33.28
"41",경기도,"41820",경기도 가평군,"2014","2014",-17.95,0,2.11,0,30.79
"44",충청남도,"44800",충청남도 홍성군,"2014","2014",-37.36,0,3.38,0,33.7
"46",전라남도,"46720",전라남도 곡성군,"2013","2013",-63.69,4,-14.48,0,56.53
"46",전라남도,"46720",전라남도 곡성군,"2014","2014",-63.69,3,-1.5,0,57.06
"47",경상북도,"47280",경상북도 문경시,"2017","2017",-49.11,3,-1.32,1,68.22
"47",경상북도,"47130",경상북도 경주시,"2016","2016",-8.94,5,6.58,0,57.07
"47",경상북도,"47170",경상북도 안동시,"2018","2018",-24.56,3,0.56,0,68.16
"47",경상북도,"47170",경상북도 안동시,"2017","2017",-24.56,2,1.57,0,68.92
"48",경상남도,"48850",경상남도 하동군,"2018","2018",-46.87,3,0.34,0,64.78
"11",서울특별시,"11560",서울특별시 영등포구,"2013","2013",-15.71,3,0.91,0,75.28
"11",서울특별시,"11560",서울특별시 영등포구,"2017","2017",-23.96,5,-1.66,1,80.48
"27",대구광역시,"27230",대구광역시 북구,"2016","2016",-3.24,2,1.28,0,61.32
"27",대구광역시,"27230",대구광역시 북구,"2017","2017",-3.24,2,1.75,0,60.54
"41",경기도,"41220",경기도 평택시,"2013","2013",2.66,0,-0.54,1,30.87
"41",경기도,"41220",경기도 평택시,"2018","2018",12.02,0,2.8,0,36.6
"44",충청남도,"44770",충청남도 서천군,"2019","2019",-51.49,5,2.5,1,57.18
"45",전라북도,"45140",전라북도 익산시,"2018","2018",-8.25,5,0.53,1,67.59
"45",전라북도,"45180",전라북도 정읍시,"2018","2018",-45.95,5,0.94,1,53.35
"45",전라북도,"45790",전라북도 고창군,"2013","2013",-63.21,1,2.76,0,19.92
"46",전라남도,"46900",전라남도 진도군,"2018","2018",-60.69,5,3.17,1,74.82
"46",전라남도,"46910",전라남도 신안군,"2013","2013",-74.64,2,-8.64,0,73.43
"47",경상북도,"47820",경상북도 청도군,"2016","2016",-44.3,2,6.57,0,63.17
"47",경상북도,"47930",경상북도 울진군,"2017","2017",-45.26,3,0.5,0,70.54
"48",경상남도,"48730",경상남도 함안군,"2013","2013",-24.34,1,7.95,0,16.76
"48",경상남도,"48730",경상남도 함안군,"2019","2019",-9.07,4,4.24,1,32.75
"11",서울특별시,"11110",서울특별시 종로구,"2013","2013",-46.81,3,-1.51,1,66.62
"11",서울특별시,"11710",서울특별시 송파구,"2013","2013",1.59,3,2.72,0,56.12
"11",서울특별시,"11710",서울특별시 송파구,"2017","2017",-3.37,4,0.4,1,58.43
"26",부산광역시,"26170",부산광역시 동구,"2013","2013",-56.81,3,-3.02,1,81.03
