,일시,최저기온,최고기온,날씨
0,2020-06-25 00:00,21,26,흐리고 비
0,2020-06-25 12:00,21,26,흐리고 비
0,2020-06-26 00:00,21,29,흐리고 비
0,2020-06-26 12:00,21,29,구름많음
0,2020-06-27 00:00,22,29,구름많음
0,2020-06-27 12:00,22,29,구름많음
0,2020-06-28 00:00,21,29,구름많음
0,2020-06-28 12:00,21,29,흐리고 비
0,2020-06-29 00:00,22,28,흐리고 비
0,2020-06-29 12:00,22,28,흐리고 비
0,2020-06-30 00:00,22,28,흐리고 비
0,2020-07-01 00:00,21,27,흐리고 비
0,2020-07-02 00:00,21,28,구름많음
0,2020-06-25 00:00,20,25,흐리고 비
0,2020-06-25 12:00,20,25,흐리고 비
0,2020-06-26 00:00,20,26,흐리고 비
0,2020-06-26 12:00,20,26,구름많음
0,2020-06-27 00:00,21,26,구름많음
0,2020-06-27 12:00,21,26,구름많음
0,2020-06-28 00:00,21,27,구름많음
0,2020-06-28 12:00,21,27,흐리고 비
0,2020-06-29 00:00,21,27,흐리고 비
0,2020-06-29 12:00,21,27,흐리고 비
0,2020-06-30 00:00,21,27,흐리고 비
0,2020-07-01 00:00,21,27,흐리고 비
0,2020-07-02 00:00,21,26,구름많음
0,2020-06-25 00:00,21,27,흐리고 비
0,2020-06-25 12:00,21,27,흐리고 비
0,2020-06-26 00:00,21,29,흐리고 비
0,2020-06-26 12:00,21,29,구름많음
0,2020-06-27 00:00,21,29,구름많음
0,2020-06-27 12:00,21,29,구름많음
0,2020-06-28 00:00,21,29,구름많음
0,2020-06-28 12:00,21,29,흐리고 비
0,2020-06-29 00:00,21,30,흐리고 비
0,2020-06-29 12:00,21,30,흐리고 비
0,2020-06-30 00:00,21,29,흐리고 비
0,2020-07-01 00:00,21,28,흐리고 비
0,2020-07-02 00:00,21,28,구름많음
0,2020-06-25 00:00,20,25,흐리고 비
0,2020-06-25 12:00,20,25,흐리고 비
0,2020-06-26 00:00,19,28,흐리고 비
0,2020-06-26 12:00,19,28,구름많음
0,2020-06-27 00:00,20,28,구름많음
0,2020-06-27 12:00,20,28,구름많음
0,2020-06-28 00:00,19,29,구름많음
0,2020-06-28 12:00,19,29,흐리고 비
0,2020-06-29 00:00,20,29,흐리고 비
0,2020-06-29 12:00,20,29,흐리고 비
0,2020-06-30 00:00,20,27,흐리고 비
0,2020-07-01 00:00,19,27,흐리고 비
0,2020-07-02 00:00,19,28,구름많음
0,2020-06-25 00:00,21,25,흐리고 비
0,2020-06-25 12:00,21,25,흐리고 비
0,2020-06-26 00:00,20,28,흐리고 비
0,2020-06-26 12:00,20,28,구름많음
0,2020-06-27 00:00,21,29,구름많음
0,2020-06-27 12:00,21,29,구름많음
0,2020-06-28 00:00,20,29,구름많음
0,2020-06-28 12:00,20,29,흐리고 비
0,2020-06-29 00:00,21,29,흐리고 비
0,2020-06-29 12:00,21,29,흐리고 비
0,2020-06-30 00:00,20,28,흐리고 비
0,2020-07-01 00:00,20,27,흐리고 비
0,2020-07-02 00:00,20,27,구름많음
0,2020-06-25 00:00,21,26,흐리고 비
0,2020-06-25 12:00,21,26,흐리고 비
0,2020-06-26 00:00,21,29,흐리고 비
0,2020-06-26 12:00,21,29,구름많음
0,2020-06-27 00:00,21,29,구름많음
0,2020-06-27 12:00,21,29,구름많음
0,2020-06-28 00:00,21,29,구름많음
0,2020-06-28 12:00,21,29,흐리고 비
0,2020-06-29 00:00,21,30,흐리고 비
0,2020-06-29 12:00,21,30,흐리고 비
0,2020-06-30 00:00,21,29,흐리고 비
0,2020-07-01 00:00,21,28,흐리고 비
0,2020-07-02 00:00,21,29,구름많음
0,2020-06-25 00:00,21,26,흐리고 비
0,2020-06-25 12:00,21,26,흐리고 비
0,2020-06-26 00:00,20,29,흐리고 비
0,2020-06-26 12:00,20,29,구름많음
0,2020-06-27 00:00,21,29,구름많음
0,2020-06-27 12:00,21,29,흐림
0,2020-06-28 00:00,21,30,흐림
0,2020-06-28 12:00,21,30,흐리고 비
0,2020-06-29 00:00,21,29,흐리고 비
0,2020-06-29 12:00,21,29,흐리고 비
0,2020-06-30 00:00,21,28,흐리고 비
0,2020-07-01 00:00,20,27,흐리고 비
0,2020-07-02 00:00,20,27,흐림
0,2020-06-25 00:00,22,26,흐리고 비
0,2020-06-25 12:00,22,26,흐리고 비
0,2020-06-26 00:00,21,28,흐리고 비
0,2020-06-26 12:00,21,28,구름많음
0,2020-06-27 00:00,21,29,구름많음
0,2020-06-27 12:00,21,29,흐림
0,2020-06-28 00:00,21,29,흐림
0,2020-06-28 12:00,21,29,흐리고 비
0,2020-06-29 00:00,21,30,흐리고 비
0,2020-06-29 12:00,21,30,흐리고 비
0,2020-06-30 00:00,21,29,흐리고 비
0,2020-07-01 00:00,21,28,흐리고 비
0,2020-07-02 00:00,21,29,흐림
0,2020-06-25 00:00,20,25,흐리고 비
0,2020-06-25 12:00,20,25,흐리고 비
0,2020-06-26 00:00,19,26,흐리고 비
0,2020-06-26 12:00,19,26,흐림
0,2020-06-27 00:00,20,27,구름많음
0,2020-06-27 12:00,20,27,흐림
0,2020-06-28 00:00,21,26,흐림
0,2020-06-28 12:00,21,26,흐리고 비
0,2020-06-29 00:00,20,25,흐리고 비
0,2020-06-29 12:00,20,25,흐리고 비
0,2020-06-30 00:00,20,25,흐리고 비
0,2020-07-01 00:00,20,25,흐리고 비
0,2020-07-02 00:00,20,25,흐림
0,2020-06-25 00:00,22,26,흐리고 비
0,2020-06-25 12:00,22,26,흐리고 비
0,2020-06-26 00:00,21,28,흐리고 비
0,2020-06-26 12:00,21,28,구름많음
0,2020-06-27 00:00,22,29,구름많음
0,2020-06-27 12:00,22,29,구름많음
0,2020-06-28 00:00,22,28,흐림
0,2020-06-28 12:00,22,28,흐리고 비
0,2020-06-29 00:00,22,29,흐리고 비
0,2020-06-29 12:00,22,29,흐리고 비
0,2020-06-30 00:00,22,28,흐리고 비
0,2020-07-01 00:00,22,28,흐리고 비
0,2020-07-02 00:00,22,28,흐림
0,2020-06-25 00:00,22,25,흐리고 비
0,2020-06-25 12:00,22,25,흐리고 비
0,2020-06-26 00:00,21,28,흐리고 비
0,2020-06-26 12:00,21,28,구름많음
0,2020-06-27 00:00,21,29,구름많음
0,2020-06-27 12:00,21,29,구름많음
0,2020-06-28 00:00,21,28,흐림
0,2020-06-28 12:00,21,28,흐리고 비
0,2020-06-29 00:00,21,29,흐리고 비
