학교종류명,설립구분,학교명,도로명주소
고등학교,사립,선일빅데이터고등학교,서울특별시 은평구 갈현로29길 27
고등학교,사립,대경생활과학고등학교,서울특별시 중구 매봉18길 111
고등학교,사립,서울매그넷고등학교,서울특별시 금천구 탑골로10길 45
고등학교,사립,광운인공지능고등학교,서울특별시 노원구 광운로1길 24
고등학교,공립,덕수고등학교(일반고),서울특별시 송파구 위례북로 10
고등학교,공립,서울인공지능고등학교,서울특별시 송파구 양산로 21
고등학교,공립,용산철도고등학교,서울특별시 용산구 서빙고로 24
고등학교,사립,서울동산고등학교,서울특별시 노원구 공릉로 257
고등학교,사립,인덕과학기술고등학교,서울특별시 노원구 초안산로 12
고등학교,사립,서울신정고등학교,서울특별시 강서구 등촌로13아길 20
고등학교,사립,서일문화예술고등학교,서울특별시 종로구 지봉로17길 49
고등학교,사립,동명생활경영고등학교,서울특별시 은평구 통일로 793
고등학교,사립,단국대학교부속소프트웨어고등학교,서울특별시 강남구 도곡로64길 21
고등학교,사립,광신방송예술고등학교,서울특별시 관악구 광신길 141
고등학교,사립,고명외식고등학교,서울특별시 성북구 북악산로 870
고등학교,사립,서울의료보건고등학교,서울특별시 중구 만리재로37길 30
고등학교,사립,영락의료과학고등학교,서울특별시 관악구 청룡16길 25
고등학교,사립,풍문고등학교,서울특별시 강남구 자곡로 152
고등학교,공립,금호고등학교,서울특별시 성동구 금호로 118
고등학교,공립,도선고등학교,서울특별시 성동구 마장로 156
고등학교,사립,신진과학기술고등학교,서울특별시 은평구 은평로6길 16
고등학교,사립,선정국제관광고등학교,서울특별시 은평구 서오릉로20길 19
고등학교,사립,계성고등학교,서울특별시 성북구 길음로 63
고등학교,사립,서울항공비즈니스고등학교,서울특별시 강서구 방화대로34길 13
고등학교,사립,서울컨벤션고등학교,서울특별시 강동구 동남로 964
고등학교,사립,대일관광고등학교,서울특별시 양천구 신정이펜1로 11
고등학교,사립,예림디자인고등학교,서울특별시 구로구 오리로21길 2
고등학교,공립,서울도시과학기술고등학교,서울특별시 성북구 종암로 196
고등학교,사립,성덕고등학교,서울특별시 강동구 구천면로 396
고등학교,공립,가재울고등학교,서울특별시 서대문구 수색로 100-35
고등학교,공립,휘봉고등학교,서울특별시 동대문구 한천로 290
고등학교,공립,잠일고등학교,서울특별시 송파구 백제고분로 21
고등학교,공립,구암고등학교,서울특별시 관악구 성현로 57
고등학교,국립,서울대학교사범대학부설고등학교,서울특별시 성북구 월곡로 6
고등학교,사립,화곡보건경영고등학교,서울특별시 강서구 강서로45길 70
고등학교,사립,영신간호비즈니스고등학교,서울특별시 노원구 중계로16나길 13
고등학교,사립,홍익디자인고등학교,서울특별시 마포구 성미산로 111
고등학교,사립,동구마케팅고등학교,서울특별시 성북구 성북로8길 71
고등학교,사립,송곡관광고등학교,서울특별시 중랑구 양원역로 67
고등학교,사립,세그루패션디자인고등학교,서울특별시 도봉구 시루봉로 53
고등학교,공립,삼각산고등학교,서울특별시 강북구 삼양로19길 40
고등학교,공립,선사고등학교,서울특별시 강동구 고덕로25길 17
고등학교,공립,신도고등학교,서울특별시 은평구 통일로 961
고등학교,사립,동양고등학교,서울특별시 강서구 허준로 50
고등학교,공립,서울금융고등학교,서울특별시 양천구 가로공원로61길 19
고등학교,사립,은평메디텍고등학교,서울특별시 은평구 진관2로 57-57
고등학교,사립,서울아이티고등학교,서울특별시 노원구 섬밭로 299
고등학교,공립,문현고등학교,서울특별시 송파구 충민로 115
고등학교,공립,강일고등학교,서울특별시 강동구 아리수로98길 40
고등학교,사립,하나고등학교,서울특별시 은평구 연서로 535
고등학교,공립,압구정고등학교,서울특별시 강남구 압구정로39길 20
고등학교,사립,상일미디어고등학교,서울특별시 강동구 천호대로219길 61
고등학교,사립,한세사이버보안고등학교,서울특별시 마포구 마포대로11길 44-80
고등학교,사립,염광여자메디텍고등학교,서울특별시 노원구 월계로45가길 9
