학교명,주소
서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) 
서울여자간호대학교,서울 서대문구 홍제3동 서울여자간호대학
서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교
서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교
성공회대학교,서울 구로구 항동 성공회대학교
성균관대학교,서울 종로구 명륜동3가 성균관대학교
성신여자대학교,서울 성북구 동선동3가 성신여자대학교
세종대학교,서울 광진구 군자동 세종대학교
숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교
숭실대학교,서울 동작구 상도동 511 숭실대학교
숭의여자대학교,서울특별시 중구 소파로2길 10(예장동)
연세대학교,서울 서대문구 신촌동 연세대학교
이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교
인덕대학교,서울 노원구 초안산로 12
장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교
적십자간호대학,서울 종로구 경교장길8
중앙대학교 서울캠퍼스,서울 동작구 흑석로 84
총신대학교,서울 동작구 사당동 산31-3
추계예술대학교,서울 서대문구 북아현동 190-1 추계예술대학교
한국방송통신대학교,서울 종로구 동숭동 한국방송통신대학교
한국성서대학교,서울 노원구 상계7동 한국성서대학교
한국예술종합학교,서울 성북구 석관동 
한국외국어대학교,서울 동대문구 이문로 107
한국체육대학교,서울 송파구 오륜동 한국체육대학교
한국폴리텍 I 대학 서울강서캠퍼스,서울 강서구 화곡동 산60-1
한국폴리텍Ⅰ대학 서울정수캠퍼스,서울 용산구 보광로 73(보광동 238)
한성대학교,서울 성북구 삼선동3가 389 한성대학교
한양대학교,서울특별시 성동구 왕십리로 222 
한양여자대학교,서울 성동구 행당동 살곶이길 200
한영신학대학교,서울 구로구 경인로 290-42  한영신학대학교
홍익대학교,서울특별시 마포구 와우산로 94(상수동)
가톨릭대학교,서울 서초구 반포동 505
가톨릭대학교,서울 종로구 창경궁로 296-12(혜화동) 
감리교신학대학교,서울 서대문구 냉천동 감리교신학대학
건국대학교,서울 광진구 화양동
경기대학교,서울 서대문구 경기대로9길 24 경기대학교
경희대학교,서울 동대문구 회기동 경희대학교
고려대학교,서울 성북구 안암동 고려대학교
광운대학교,서울특별시 노원구 월계동 447-1
국민대학교,서울 성북구 정릉3동 국민대학교
국제예술대학,서울 강남구 논현동 79
그리스도대학교,서울 강서구 화곡6동 그리스도대학교
덕성여자대학교,서울특별시 도봉구 삼양로 144길 33
동국대학교,서울 중구 필동3가 동국대학교
동덕여자대학교,서울 성북구 하월곡2동 동덕여자대학교
동양미래대학교,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160)
디지털서울문화예술대학교,서울시 서대문구 통일로 37길 60 (홍제동 318-18)
명지대학교 인문캠퍼스,서울 서대문구 남가좌동 50-3
명지전문대학,서울 서대문구 가좌로 134 명지전문대학 
배화여자대학교,서울 종로구 필운대로 1길 34 배화여자대학교
백석예술대학교,서울 서초구 방배로9길 23 백석예술대학교
사이버한국외국어대학교,서울 동대문구 이문동 한국외국어대학교
삼육대학교,서울시 노원구 화랑로 815(공릉2동 26-21)
삼육보건대학교,서울 동대문구 휘경2동
상명대학교,서울 종로구 홍지동 상명대학교
서강대학교,서울 마포구 신수동 서강대학교
서경대학교,서울 성북구 정릉4동 서경대학교
서울과학기술대학교,서울 노원구 공릉로 232 (공릉동 172)
서울과학기술대학교,서울시 노원구 공릉로 232 서울과학기술대학교
서울교육대학교,서울 서초구 서초중앙로 96(서초동 1650)
서울기독대학교,서울 은평구 갈현로 4길 26-2호
서울대학교,서울 관악구 관악로 1 서울대학교
서울디지털대학교,서울 마포구 도화동 560번지
서울사이버대학교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교
