역사_ID,역사명,호선,위도,경도
"150",서울역,1호선,126.972135,37.556228
"151",시청,1호선,126.977088,37.565715
"152",종각,1호선,126.982923,37.570161
"153",종로3가,1호선,126.991847,37.570406
"154",종로5가,1호선,127.001849,37.570926
"155",동대문,1호선,127.01093,37.571687
"156",신설동,1호선,127.024634,37.576048
"157",제기동,1호선,127.034893,37.578103
"158",청량리(서울시립대입구),1호선,127.044585,37.579956
"159",동묘앞,1호선,127.01648,37.573197
"201",시청,2호선,126.975411,37.563588
"202",을지로입구,2호선,126.982618,37.566014
"203",을지로3가,2호선,126.991696,37.566306
"204",을지로4가,2호선,126.997817,37.566595
"205",동대문역사문화공원,2호선,127.009054,37.565613
"206",신당,2호선,127.019614,37.56564
"207",상왕십리,2호선,127.029354,37.564354
"208",왕십리(성동구청),2호선,127.036954,37.561238
"209",한양대,2호선,127.043655,37.555273
"210",뚝섬,2호선,127.047367,37.547184
"211",성수,2호선,127.055961,37.544581
"212",건대입구,2호선,127.069191,37.540373
"213",구의(광진구청),2호선,127.085916,37.537077
"214",강변(동서울터미널),2호선,127.094681,37.535095
"215",잠실나루,2호선,127.10379,37.520733
"216",잠실(송파구청),2호선,127.100159,37.513262
"217",잠실새내,2호선,127.086162,37.511687
"218",종합운동장,2호선,127.073704,37.511022
"219",삼성(무역센터),2호선,127.06316,37.508844
"220",선릉,2호선,127.048203,37.504286
"221",역삼,2호선,127.036456,37.500622
"222",강남,2호선,127.027912,37.49799
"223",교대(법원.검찰청),2호선,127.014667,37.493961
"224",서초,2호선,127.007917,37.491897
"225",방배,2호선,126.997596,37.481426
"226",사당,2호선,126.981544,37.476538
"227",낙성대,2호선,126.963693,37.47693
"228",서울대입구(관악구청),2호선,126.952739,37.481247
"229",봉천,2호선,126.941892,37.482362
"230",신림,2호선,126.929715,37.484201
"231",신대방,2호선,126.913149,37.487462
"232",구로디지털단지,2호선,126.901401,37.485266
"233",대림(구로구청),2호선,126.894932,37.493243
"234",신도림,2호선,126.891084,37.508961
"235",문래,2호선,126.89476,37.517933
"236",영등포구청,2호선,126.89661,37.525706
"237",당산,2호선,126.902767,37.534946
"238",합정,2호선,126.913808,37.549457
"239",홍대입구,2호선,126.923708,37.55679
"240",신촌,2호선,126.936926,37.555131
"241",이대,2호선,126.946013,37.556733
"242",아현,2호선,126.956141,37.557345
"243",충정로(경기대입구),2호선,126.964378,37.559704
"244",용답,2호선,127.050899,37.561904
"245",신답,2호선,127.046481,37.57004
"246",신설동,2호선,127.024932,37.574747
"247",도림천,2호선,126.882768,37.514287
"248",양천구청,2호선,126.865819,37.512398
"249",신정네거리,2호선,126.852912,37.520074
"250",용두(동대문구청),2호선,127.038091,37.574028
"310",구파발,3호선,126.918821,37.636763
"311",연신내,3호선,126.921038,37.619229
"312",불광,3호선,126.92982,37.610553
"313",녹번,3호선,126.935756,37.600927
"314",홍제,3호선,126.943736,37.589066
"315",무악재,3호선,126.950291,37.582299
"316",독립문,3호선,126.957748,37.574571
"317",경복궁(정부서울청사),3호선,126.97353,37.575762
"318",안국,3호선,126.985443,37.576477
"319",종로3가,3호선,126.991791,37.571605
"320",을지로3가,3호선,126.992548,37.566672
"321",충무로,3호선,126.994072,37.56143
"322",동대입구,3호선,127.005602,37.559052
"323",약수,3호선,127.010541,37.554867
"324",금호,3호선,127.015872,37.548034
"325",옥수,3호선,127.017269,37.541684
"326",압구정,3호선,127.028461,37.527072
"327",신사,3호선,127.020114,37.516334
"328",잠원,3호선,127.01122,37.512759
"329",고속터미널,3호선,127.004916,37.504891
"330",교대(법원.검찰청),3호선,127.013786,37.493025
"331",남부터미널(예술의전당),3호선,127.016189,37.485013
"332",양재(서초구청),3호선,127.033902,37.484477
"333",매봉,3호선,127.046769,37.486947
"334",도곡,3호선,127.055452,37.490922
"335",대치,3호선,127.063642,37.494612
"336",학여울,3호선,127.070594,37.496663
"337",대청,3호선,127.079532,37.493514
"338",일원,3호선,127.08439,37.483681
"339",수서,3호선,127.101907,37.487378
"340",가락시장,3호선,127.117757,37.492245
"341",경찰병원,3호선,127.12454,37.495918
"342",오금,3호선,127.128319,37.502129
"409",당고개,4호선,127.079066,37.670272
"410",상계,4호선,127.073572,37.660878
"411",노원,4호선,127.063276,37.65627
"412",창동,4호선,127.047274,37.653088
"413",쌍문,4호선,127.034709,37.648627
"414",수유(강북구청),4호선,127.025732,37.638052
"415",미아(서울사이버대학),4호선,127.025983,37.62667
"416",미아사거리,4호선,127.030053,37.613292
"417",길음,4호선,127.025053,37.603407
"418",성신여대입구(돈암),4호선,127.016441,37.592612
"419",한성대입구(삼선교),4호선,127.006221,37.588458
"420",혜화,4호선,127.001844,37.582336
"421",동대문,4호선,127.009287,37.57093
"422",동대문역사문화공원,4호선,127.007885,37.565133
"423",충무로,4호선,126.99408,37.561207
"424",명동,4호선,126.986325,37.560989
"425",회현(남대문시장),4호선,126.978246,37.558514
"426",서울역,4호선,126.972556,37.55281
"427",숙대입구(갈월),4호선,126.972106,37.54456
"428",삼각지,4호선,126.9726,37.534075
"429",신용산,4호선,126.967894,37.52917
"430",이촌(국립중앙박물관),4호선,126.974733,37.522295
"431",동작(현충원),4호선,126.980347,37.502852
"432",총신대입구(이수),4호선,126.981989,37.486263
"433",사당,4호선,126.981651,37.476955
"434",남태령,4호선,126.989134,37.463873
"1001",서울역,경부선,126.971134,37.554337
"1002",남영,경부선,126.9713,37.541021
"1003",용산,경부선,126.964561,37.529849
"1004",노량진,경부선,126.94271,37.514149
"1005",대방,경부선,126.926382,37.513342
"1006",영등포,경부선,126.907628,37.515504
"1007",신도림,경부선,126.891144,37.508787
"1008",이촌(국립중앙박물관),경원선,126.973406,37.522427
"1009",서빙고,경원선,126.988537,37.519594
"1010",한남,경원선,127.009169,37.52943
"1011",옥수,경원선,127.018672,37.540446
"1012",응봉,경원선,127.034538,37.549946
"1013",왕십리(성동구청),경원선,127.038352,37.561827
"1014",청량리(서울시립대입구),경원선,127.0483,37.580759
"1015",회기,중앙선,127.057583,37.58946
"1016",외대앞,경원선,127.063549,37.596073
"1017",신이문,경원선,127.067325,37.601854
"1018",석계,경원선,127.065934,37.614532
"1019",광운대,경원선,127.061835,37.623632
"1020",월계,경원선,127.058831,37.633212
"1021",녹천,경원선,127.051269,37.644799
"1022",창동,경원선,127.047806,37.653007
"1023",선릉,분당선,127.048807,37.504856
"1024",한티,분당선,127.052873,37.496237
"1025",도곡,분당선,127.055186,37.491224
"1026",구룡,분당선,127.058856,37.486839
"1027",개포동,분당선,127.06614,37.489116
"1028",대모산입구,분당선,127.07272,37.491373
"1030",수서,분당선,127.101422,37.487472
"1031",복정,분당선,127.126658,37.470345
"1032",신길,경부선,126.917865,37.516862
"1201",중랑,중앙선,127.076116,37.594917
"1202",상봉(시외버스터미널),중앙선,127.08504,37.596678
"1203",망우,중앙선,127.091909,37.59955
"1204",양원,중앙선,127.107906,37.606596
"1251",서울역,경의중앙선,126.97103,37.557231
"1252",신촌,경의중앙선,126.942597,37.559733
"1261",효창공원앞,경의중앙선,126.96221,37.538579
"1262",공덕,경의중앙선,126.952099,37.542596
"1263",서강대,경의중앙선,126.935711,37.551881
"1264",홍대입구,경의중앙선,126.926683,37.557641
"1265",가좌,경의중앙선,126.915487,37.568491
"1266",디지털미디어시티,경의중앙선,126.900453,37.577475
"1267",수색,경의중앙선,126.895611,37.580842
"1291",서울역,경의중앙선,126.97103,37.557231
"1292",공덕,경의중앙선,126.952099,37.542596
"1293",홍대입구,경의중앙선,126.926683,37.557641
"1294",디지털미디어시티,경의중앙선,126.900453,37.577475
"1311",신내,경춘선,127.103218,37.612887
"1701",구로,경부선,126.881966,37.503039
"1702",가산디지털단지,경부선,126.882581,37.481581
"1703",금천구청,경부선,126.89398,37.455626
"1704",석수,경부선,126.902295,37.435047
"1714",독산,경부선,126.889249,37.466613
"1801",개봉,경인선,126.85968,37.494594
"1802",오류동,경인선,126.845365,37.494526
"1813",구일,경인선,126.870793,37.496756
"1821",온수(성공회대입구),경인선,126.824086,37.492433
"1847",서울숲,분당선,127.044707,37.543617
"1848",압구정로데오,분당선,127.040534,37.527381
"1849",강남구청,분당선,127.041151,37.517469
"1850",선정릉,분당선,127.043677,37.510735
"1901",방학,경원선,127.044273,37.667503
"1902",도봉,경원선,127.045595,37.679563
"1903",도봉산,경원선,127.046049,37.689534
"2511",방화,5호선,126.812741,37.577446
"2512",개화산,5호선,126.806171,37.572399
"2513",김포공항,5호선,126.801292,37.562384
"2514",송정,5호선,126.811973,37.561184
"2515",마곡,5호선,126.825448,37.560183
"2516",발산,5호선,126.837668,37.558598
"2517",우장산,5호선,126.836318,37.548768
"2518",화곡,5호선,126.840461,37.541513
"2519",까치산,5호선,126.846683,37.531768
"2520",신정(은행정),5호선,126.856191,37.524997
"2521",목동,5호선,126.864931,37.526065
"2522",오목교(목동운동장앞),5호선,126.875181,37.524496
"2523",양평,5호선,126.886129,37.525569
"2524",영등포구청,5호선,126.89503,37.5242
"2525",영등포시장,5호선,126.905139,37.522669
"2526",신길,5호선,126.914839,37.517623
"2527",여의도,5호선,126.924357,37.521747
"2528",여의나루,5호선,126.932901,37.527098
"2529",마포,5호선,126.945932,37.539574
"2530",공덕,5호선,126.951372,37.544431
"2531",애오개,5호선,126.95682,37.553736
"2532",충정로(경기대입구),5호선,126.9629,37.560236
"2533",서대문,5호선,126.966641,37.565773
"2534",광화문(세종문화회관),5호선,126.97717,37.571525
"2535",종로3가,5호선,126.990305,37.57254
"2536",을지로4가,5호선,126.998032,37.567352
"2537",동대문역사문화공원,5호선,127.005353,37.564665
"2538",청구,5호선,127.013639,37.560276
"2539",신금호,5호선,127.020331,37.554548
"2540",행당,5호선,127.029476,37.557322
"2541",왕십리(성동구청),5호선,127.037059,37.56184
"2542",마장,5호선,127.042973,37.5661
"2543",답십리,5호선,127.052704,37.566747
"2544",장한평,5호선,127.064623,37.56144
"2545",군자(능동),5호선,127.079577,37.557088
"2546",아차산(어린이대공원후문),5호선,127.089761,37.551691
"2547",광나루(장신대),5호선,127.10357,37.545303
"2548",천호(풍납토성),5호선,127.123308,37.53864
"2549",강동,5호선,127.132481,37.535804
"2550",길동,5호선,127.140004,37.537801
"2551",굽은다리(강동구민회관앞),5호선,127.142853,37.545477
"2552",명일,5호선,127.143999,37.55137
"2553",고덕,5호선,127.154151,37.555004
"2554",상일동,5호선,127.166417,37.556712
"2555",둔촌동,5호선,127.136248,37.527788
"2556",올림픽공원(한국체대),5호선,127.130923,37.516201
"2557",방이,5호선,127.126133,37.508857
"2558",오금,5호선,127.127938,37.502057
"2559",개롱,5호선,127.13482,37.498079
"2560",거여,5호선,127.14415,37.493105
"2561",마천,5호선,127.152781,37.49499
"2562",강일,5호선,127.17593,37.55749
"2611",응암,6호선,126.915577,37.598605
"2612",역촌,6호선,126.922744,37.606021
"2613",불광,6호선,126.92939,37.610873
"2614",독바위,6호선,126.933031,37.618456
"2615",연신내,6호선,126.920625,37.618636
"2616",구산,6호선,126.91727,37.611377
"2617",새절(신사),6호선,126.913629,37.591148
"2618",증산(명지대앞),6호선,126.909645,37.583876
"2619",디지털미디어시티,6호선,126.901391,37.576108
"2620",월드컵경기장(성산),6호선,126.899298,37.569532
"2621",마포구청,6호선,126.903343,37.563515
"2622",망원,6호선,126.910052,37.556094
"2623",합정,6호선,126.913366,37.549209
"2624",상수,6호선,126.922852,37.547716
"2625",광흥창(서강),6호선,126.931993,37.547456
"2626",대흥(서강대앞),6호선,126.942069,37.547771
"2627",공덕,6호선,126.951678,37.543555
"2628",효창공원앞,6호선,126.961384,37.539233
"2629",삼각지,6호선,126.974032,37.535534
"2630",녹사평(용산구청),6호선,126.986695,37.534675
"2631",이태원,6호선,126.994302,37.534488
"2632",한강진,6호선,127.001725,37.539631
"2633",버티고개,6호선,127.007055,37.548013
"2634",약수,6호선,127.010358,37.554263
"2635",청구,6호선,127.013986,37.560608
"2636",신당,6호선,127.016146,37.566154
"2637",동묘앞,6호선,127.015653,37.572279
"2638",창신,6호선,127.015241,37.579661
"2639",보문,6호선,127.019351,37.585274
"2640",안암(고대병원앞),6호선,127.029005,37.586272
"2641",고려대(종암),6호선,127.036296,37.590508
