연도,광역,시군구,시설명,사업자등록번호,시설군
2020,서울특별시,강남구,(의)가산의료재단 광동한방병원,120-82-02521,의료기관
2020,서울특별시,강남구,(의)미래의료재단리드림의원,211-82-13187,의료기관
2020,서울특별시,강남구,(의)성광의료재단 차움의원,211-82-17053,의료기관
2020,서울특별시,강남구,(의)성광의료재단차움건진의원(삼성동),220-82-06088,의료기관
2020,서울특별시,강남구,(재)성보문화재단,120-82-02268,실내주차장
2020,서울특별시,강남구,(주)블루스카이보습학원,120-86-77146,학원
2020,서울특별시,강남구,(주)엠디엠플러스,694-85-00817,실내주차장
2020,서울특별시,강남구,(주)와이케이동그라미 논현지점,291-85-01048,의료기관
2020,서울특별시,강남구,(주)제이씨엠,888-88-00053,목욕장
2020,서울특별시,강남구,(주)제이콘텐트리 엠엔비,216-81-10039,실내주차장
2020,서울특별시,강남구,(주)하이컨시,488-88-00381,학원
2020,서울특별시,강남구,(학)감리교신학원 MTU빌딩,220-82-07340,실내주차장
2020,서울특별시,강남구,1964BUILDING,125-85-66818,실내주차장
2020,서울특별시,강남구,3pop pc방,147-11-01298,PC영업시설
2020,서울특별시,강남구,3POP PC카페 대치점,707-04-00448,PC영업시설
2020,서울특별시,강남구,A STORE 일렉트로마트 논현점,206-86-50913,대규모점포
2020,서울특별시,강남구,BIEL106(비엘106오피스텔),513-82-77113,실내주차장
2020,서울특별시,강남구,BYC빌딩,220-81-27276,실내주차장
2020,서울특별시,강남구,CGV 강남점,104-81-45690,영화상영관
2020,서울특별시,강남구,CGV 압구정점(본관),104-81-45690,영화상영관
2020,서울특별시,강남구,CGV 압구정점(신관),104-81-45690,영화상영관
2020,서울특별시,강남구,CGV 청담 씨네시티점,104-81-45690,영화상영관
2020,서울특별시,강남구,e-그린PC방&푸드카페,148-36-00238,PC영업시설
2020,서울특별시,강남구,GKL행복(강남 코엑스 2호점 어린이집),172-80-01043,어린이집
2020,서울특별시,강남구,GKL행복어린이집,123-80-28190,어린이집
2020,서울특별시,강남구,GS타워,107-86-09325,실내주차장
2020,서울특별시,강남구,ICT Tower,214-86-32463,실내주차장
2020,서울특별시,강남구,KT&G타워(인삼공사),120-85-13067,실내주차장
2020,서울특별시,강남구,KT선릉타워,120-87-57657,실내주차장
2020,서울특별시,강남구,KT영동지사 호텔동,102-81-42945,실내주차장
2020,서울특별시,강남구,L&T렉서스,120-86-02062,실내주차장
2020,서울특별시,강남구,L7 HOTELS 강남타워,201-81-68693,실내주차장
2020,서울특별시,강남구,LG U+ 논현 IDC,107-86-09325,실내주차장
2020,서울특별시,강남구,LG전자 강남R&D센터,107-86-14075,실내주차장
2020,서울특별시,강남구,LG트윈텔1차,120-86-06016,실내주차장
2020,서울특별시,강남구,LG트윈텔2차,120-86-06016,실내주차장
2020,서울특별시,강남구,M&H산후조리원,211-90-89926,산후조리원
2020,서울특별시,강남구,M타워,210-02-23623,실내주차장
2020,서울특별시,강남구,PMK빌딩,220-07-61371,실내주차장
2020,서울특별시,강남구,Poba 강남타워,201-86-15022,실내주차장
2020,서울특별시,강남구,SB타워,211-85-14246,실내주차장
2020,서울특별시,강남구,SEI타워,220-85-41510,실내주차장
2020,서울특별시,강남구,SI타워,220-85-30594,실내주차장
2020,서울특별시,강남구,SRT수서역,305-86-31590,지하역사
2020,서울특별시,강남구,test,111-11-55555,PC영업시설
2020,서울특별시,강남구,URBAN BENCH(어반벤치빌딩),220-02-08099,실내주차장
2020,서울특별시,강남구,VPLEX,120-87-23856,실내주차장
2020,서울특별시,강남구,가리온빌딩,120-85-27955,실내주차장
2020,서울특별시,강남구,가온어린이집,120-80-12990,어린이집
2020,서울특별시,강남구,강남 뉴타운관리단(거평타운),211-82-13931,실내주차장
2020,서울특별시,강남구,강남 더샵라르고,117-81-06882,실내주차장
2020,서울특별시,강남구,강남 디와이비최선어학원,120-86-24881,학원
2020,서울특별시,강남구,강남 지웰파인즈,134-86-22387,실내주차장
2020,서울특별시,강남구,"강남 지웰홈스(A,B동)",120-85-48339,실내주차장
2020,서울특별시,강남구,강남 파르테논어학원,120-90-91242,학원
2020,서울특별시,강남구,강남 푸르지오시티 1차 오피스텔,105-81-75033,실내주차장
2020,서울특별시,강남구,강남 푸르지오시티 2차,109-81-81895,실내주차장
2020,서울특별시,강남구,강남 힐스어린이집,120-80-14886,어린이집
2020,서울특별시,강남구,강남358타워,120-87-23856,실내주차장
2020,서울특별시,강남구,강남N타워,378-85-00953,실내주차장
2020,서울특별시,강남구,강남YMCA,211-82-06065,실내주차장
2020,서울특별시,강남구,강남구 민자유치 논현3호주차장,108-81-94683,실내주차장
2020,서울특별시,강남구,강남구 제4호 민자유치주차장(청담솔주차장),105-86-66427,실내주차장
2020,서울특별시,강남구,강남구립 행복요양병원,120-82-11700,실내주차장
2020,서울특별시,강남구,강남구민회관,211-82-12704,실내주차장
2020,서울특별시,강남구,강남구청 직장어린이집,671-80-00347,어린이집
2020,서울특별시,강남구,강남구청역 에스케이허브블루,211-82-15389,실내주차장
2020,서울특별시,강남구,강남구청역 에스케이허브블루,211-82-15389,PC영업시설
2020,서울특별시,강남구,강남구청역(7호선),218-82-00999,지하역사
2020,서울특별시,강남구,강남구청역(분당선),314-82-10024,지하역사
2020,서울특별시,강남구,강남구치매지원센터 공영주차장,211-82-12704,실내주차장
2020,서울특별시,강남구,강남금융센터,107-86-00872,실내주차장
2020,서울특별시,강남구,강남대성학원,214-86-15862,학원
2020,서울특별시,강남구,강남대성학원,214-86-15862,실내주차장
2020,서울특별시,강남구,강남동산어린이집,815-80-00893,어린이집
2020,서울특별시,강남구,강남드림하이 오피스텔,210-82-83133,실내주차장
2020,서울특별시,강남구,강남라이즈어학원(라이즈역삼),220-88-84811,학원
2020,서울특별시,강남구,강남리더스프라자,141-04-27860,실내주차장
2020,서울특별시,강남구,강남베드로병원,127-96-76749,의료기관
2020,서울특별시,강남구,강남상가(강남시장),211-88-42175,대규모점포
2020,서울특별시,강남구,강남서머힐어린이집,220-80-01551,어린이집
2020,서울특별시,강남구,강남세브란스병원,213-82-00602,장례식장
2020,서울특별시,강남구,강남세브란스병원,213-82-00602,의료기관
2020,서울특별시,강남구,강남세브란스병원,213-82-00602,실내주차장
2020,서울특별시,강남구,강남아이트라움어린이집,213-80-03037,어린이집
2020,서울특별시,강남구,강남에이스타워G9고객지원센터,310-85-21326,실내주차장
2020,서울특별시,강남구,강남역 센트럴푸르지오시티,233-82-61466,실내주차장
2020,서울특별시,강남구,강남역 쉐르빌,132-82-93398,실내주차장
2020,서울특별시,강남구,강남역 와이즈플레이스,135-82-93887,실내주차장
2020,서울특별시,강남구,강남역 지하도상가,206-82-04293,지하도상가
2020,서울특별시,강남구,강남역(2호선),114-82-01319,지하역사
2020,서울특별시,강남구,강남역(신분당선),129-81-85411,지하역사
2020,서울특별시,강남구,강남역두산위브센티움,412-82-65051,실내주차장
2020,서울특별시,강남구,강남우체국,107-82-07334,실내주차장
2020,서울특별시,강남구,강남유탑유블레스,135-81-72022,실내주차장
2020,서울특별시,강남구,강남종로학원(이과),255-85-00010,학원
2020,서울특별시,강남구,강남지인병원,109-16-97666,의료기관
2020,서울특별시,강남구,강남청솔신관학원,116-85-47383,학원
2020,서울특별시,강남구,강남파라곤,211-82-63649,실내주차장
2020,서울특별시,강남구,강남패밀리호텔,211-88-57488,실내주차장
2020,서울특별시,강남구,강남하이퍼학원,220-81-51631,학원
2020,서울특별시,강남구,강남하이퍼학원,220-85-24205,학원
2020,서울특별시,강남구,강남힐스테이트에코,128-81-14645,실내주차장
2020,서울특별시,강남구,강대마이맥,296-88-01461,학원
2020,서울특별시,강남구,개념폴리아학원,120-85-42558,학원
2020,서울특별시,강남구,개포PSA어학원,120-85-14784,학원
2020,서울특별시,강남구,개포동공원 공영주차장,211-82-12704,실내주차장
2020,서울특별시,강남구,개포동역(분당선),314-82-10024,지하역사
2020,서울특별시,강남구,갤러리아백화점 명품관(동관),211-85-07124,실내주차장
2020,서울특별시,강남구,건설회관,211-81-32251,실내주차장
2020,서울특별시,강남구,게이트압구정어학학원,211-85-52425,학원
2020,서울특별시,강남구,게임이너스 강남역점,399-34-00282,PC영업시설
2020,서울특별시,강남구,게임이너스 강남이스포츠점,704-85-00773,PC영업시설
2020,서울특별시,강남구,게임이너스 강남점,220-09-88603,PC영업시설
2020,서울특별시,강남구,게임이너스 양재점,620-68-00288,PC영업시설
2020,서울특별시,강남구,경원하이츠텔,105-81-36914,실내주차장
2020,서울특별시,강남구,골드로즈사우나,216-02-26346,목욕장
2020,서울특별시,강남구,골든타워,102-81-23496,실내주차장
2020,서울특별시,강남구,공무원연금관리공단(상록회관),220-82-00935,실내주차장
2020,서울특별시,강남구,광림교회,211-82-01473,실내주차장
2020,서울특별시,강남구,광림교회 사회봉사관,211-82-01473,실내주차장
2020,서울특별시,강남구,광혜병원,120-91-33216,의료기관
2020,서울특별시,강남구,구룡역(분당선),314-82-10024,지하역사
2020,서울특별시,강남구,국가무형문화재전수교육관,203-82-02904,실내주차장
2020,서울특별시,강남구,국립어린이청소년도서관,220-83-00233,도서관
2020,서울특별시,강남구,국민건강보험공단 서울요양원,120-82-67825,노인요양시설
2020,서울특별시,강남구,국민연금 강남회관,211-82-11909,실내주차장
2020,서울특별시,강남구,군인공제회관,220-85-37525,실내주차장
2020,서울특별시,강남구,궁산후조리원 강남본원지점,478-85-00758,산후조리원
2020,서울특별시,강남구,그랜드인터컨티넨탈호텔 서울 파르나스,120-81-01336,실내주차장
2020,서울특별시,강남구,그랜드인터컨티넨탈호텔 서울 파르나스,120-81-01336,대규모점포
2020,서울특별시,강남구,글라스타워,220-10-61217,실내주차장
2020,서울특별시,강남구,글라스타워,213-09-92531,실내주차장
2020,서울특별시,강남구,글로벌세아빌딩,120-86-06641,실내주차장
2020,서울특별시,강남구,금강쇼핑센타(금강상가),211-85-37690,대규모점포
2020,서울특별시,강남구,금강타워,120-86-72855,실내주차장
2020,서울특별시,강남구,금하빌딩,120-81-18138,실내주차장
2020,서울특별시,강남구,기아자동차 압구정사옥,119-81-02316,실내주차장
2020,서울특별시,강남구,기존컨벤션센터(전시동),120-82-00071,실내주차장
2020,서울특별시,강남구,긱스타 피씨 까페,704-13-00892,PC영업시설
2020,서울특별시,강남구,김영편입강남단과캠퍼스학원,220-85-44235,학원
2020,서울특별시,강남구,나누리병원,211-90-31399,의료기관
2020,서울특별시,강남구,남경센터,120-03-76620,실내주차장
2020,서울특별시,강남구,남서울종합상가,120-82-65977,대규모점포
2020,서울특별시,강남구,네이처포엠,211-80-04345,실내주차장
2020,서울특별시,강남구,노벨빌딩,120-06-16996,실내주차장
2020,서울특별시,강남구,노보텔앰배서더강남,220-81-01562,실내주차장
2020,서울특별시,강남구,노블케어요양병원,260-90-00753,의료기관
2020,서울특별시,강남구,논현로얄팰리스,211-80-04379,실내주차장
2020,서울특별시,강남구,논현어린이집,211-80-01237,어린이집
2020,서울특별시,강남구,논현역(7호선),218-82-00999,지하역사
2020,서울특별시,강남구,논현웰스톤,211-82-62034,실내주차장
2020,서울특별시,강남구,논현초등학교 공영주차장,211-82-12704,실내주차장
2020,서울특별시,강남구,농협은행빌딩(두산빌딩),211-85-67821,실내주차장
2020,서울특별시,강남구,누네안과병원,120-11-03516,의료기관
2020,서울특별시,강남구,뉴서울빌딩,211-81-44403,실내주차장
2020,서울특별시,강남구,느루요양병원,755-25-00457,의료기관
2020,서울특별시,강남구,다봉타워빌딩,120-05-66617,실내주차장
2020,서울특별시,강남구,담소유병원,211-10-27573,의료기관
2020,서울특별시,강남구,대륭강남타워,134-81-23061,실내주차장
2020,서울특별시,강남구,대모산입구역(분당선),314-82-10024,지하역사
2020,서울특별시,강남구,대왕초등학교 공영주차장,211-82-12704,실내주차장
2020,서울특별시,강남구,대우디오빌플러스,220-82-61591,실내주차장
2020,서울특별시,강남구,대우아이빌힐타운,211-10-67347,실내주차장
2020,서울특별시,강남구,대웅 리틀베어 어린이집,120-80-11370,어린이집
2020,서울특별시,강남구,대윤빌딩,120-87-80541,실내주차장
2020,서울특별시,강남구,대청역(3호선),114-82-01319,지하역사
2020,서울특별시,강남구,대청웰빙사우나,120-09-80859,목욕장
2020,서울특별시,강남구,대청타워,120-80-02153,실내주차장
2020,서울특별시,강남구,대치1관정상어학원,130-81-42974,학원
2020,서울특별시,강남구,대치2관정상어학원,130-81-42974,학원
2020,서울특별시,강남구,대치2단지 상가,120-05-42901,대규모점포
2020,서울특별시,강남구,대치2문화센터공영주차장,211-82-12704,실내주차장
2020,서울특별시,강남구,대치2차 아이파크 오피스,626-86-01071,실내주차장
2020,서울특별시,강남구,대치대우아이빌4차,120-82-65040,실내주차장
2020,서울특별시,강남구,대치삼보어학원,120-12-05433,학원
2020,서울특별시,강남구,대치어린이집,801-80-00138,어린이집
2020,서울특별시,강남구,대치역(3호선),114-82-01319,지하역사
2020,서울특별시,강남구,대치이엠프라자,215-87-38297,실내주차장
2020,서울특별시,강남구,대치종합상가(리치몬드산업㈜),120-81-14675,대규모점포
